,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159
1984-09-20,-0.83810085,1.400607,-0.22557412,1.7610492,1.0622972,-1.2851908,-0.014063716,0.1641762,0.08181907,0.4791215,-1.3137964,0.79977036,0.34792054,0.23202422,1.4561324,-1.6079125,0.2994733,0.2744395,0.07886405,-0.55225253,-0.03203292,0.7217753,-0.4114613,0.49014688,-1.3799982,0.36162063,-0.33200923,-0.21883027,-0.18895921,0.9242846,-1.1489451,-0.29159054,-0.0063865427,-0.25979355,0.8014907,0.1866842,0.15031214,0.22693858,0.17061639,0.13738897,1.4439582,-0.9103342,-0.23240118,0.72070557,-0.123553246,0.071916066,-0.16946584,-0.18018313,-0.054548077,0.49314278,-0.7793874,0.3807374,-0.37882227,0.35084003,0.4425875,-1.3587261,-0.27236032,-0.18864067,-0.060578194,0.8964713,0.41004586,0.051243693,0.2649804,-0.8396876,0.89955944,-0.2697729,0.45892859,0.3399518,0.23429006,-0.6980437,0.25388485,-0.41244975,0.07017366,-1.6559064,0.28290343,0.25401822,0.06322868,-0.124835625,-0.04166776,-0.15510347,0.2389386,-0.24366778,-0.15250494,-1.0538396,-1.1304709,-0.23139387,-0.225467,-0.22738622,-0.092753135,0.47681302,0.3383344,-0.91371214,-0.5178318,-0.71676344,0.025051318,-0.93305176,-0.3524924,-0.26072776,-0.072484694,1.2235565,1.3557175,-0.93739915,0.08474381,-0.66864514,0.6775576,-0.22454296,0.26533103,0.24733652,0.22361241,-0.16652021,1.245845,-1.5468162,-0.004626544,-0.59939337,-1.7429881,0.37556195,-0.07528887,-0.08141388,0.016963892,0.20139706,2.2769594,-0.20856911,-0.20380563,-1.6129515,1.6491244,-0.0928842,0.04048228,-0.028503843,0.005627296,0.13793382,1.6728115,0.052172437,-0.4166879,-1.0233026,-1.3045958,0.17318617,-0.37030855,-0.4406562,-0.19884746,0.86111397,1.4213971,-0.2999753,0.45344543,-1.856714,0.639785,-0.08040961,0.45118943,0.24118793,0.15088895,-1.0576361,0.40535477,0.23640697,-0.49341786,-2.017551,-2.678583,1.9014975,-0.54557306,-0.5246706,-0.20414224,1.3805149
2015-05-21,-1.3627373,0.19358046,0.22686991,-0.16881675,-0.40704137,-0.021598628,0.28862065,0.33664662,0.1523376,-0.39428365,-0.57526416,-0.30998105,0.24243073,1.0608323,1.229048,-0.65069807,0.17169878,0.09082532,-0.09662412,-0.48727936,-0.114170834,-0.18324918,0.26764238,2.6429298,-0.3158028,0.38477397,0.24603441,0.26966438,0.011315164,-0.20763722,0.7564655,1.7064013,0.29890373,1.0529859,-0.5440901,0.8152688,0.13603592,0.15880343,-0.17992608,-0.8361885,-0.8046299,1.4647278,-0.1144629,2.0561192,-2.124437,2.8170013,-0.18235919,-0.021631688,-0.19820005,0.23641008,-2.4320588,0.41330963,0.26119724,2.3623667,0.55664027,0.99111885,0.22329298,0.25058377,0.015595686,-0.70008874,-1.6974534,0.34248668,0.0042570084,4.268915,1.7993602,-1.1814768,-0.00012759864,-0.16182798,-0.14828247,0.3213999,-0.302852,0.94282234,0.453234,3.9980085,-0.8029872,0.2603426,0.28059268,0.4333002,0.10899735,-0.9526236,-1.4631864,1.3463686,0.041537084,4.1446514,0.5400436,0.5467019,0.047684252,0.058016755,-0.003011975,-0.37791333,-3.0004961,1.9064116,-0.17360593,3.795812,1.8250477,0.3015953,-0.101493426,-0.0892424,-0.11278904,0.10195961,-3.4290957,1.5403348,-0.7770904,3.0397906,0.07050888,0.8639013,-0.73012155,-0.3218158,-0.19087487,1.509713,-3.8560004,1.0619448,0.093853444,3.021548,1.4218465,-0.17531988,0.14819694,0.41587114,0.11520425,-0.0259112,-2.1496577,0.8129133,0.23130542,2.3285787,0.053358316,0.3171885,0.10562449,0.3432458,0.120515615,-0.7008221,-2.6194727,2.1523993,-0.20207384,3.6251996,0.84039694,-1.1843469,-0.08992595,-0.01624988,0.030397061,0.601964,-2.134323,2.208085,0.6944897,2.0871139,0.6473677,-1.7005061,0.45570397,0.54917526,0.2210269,-1.5639,-1.7002743,1.882942,0.13896233,3.1099625,1.7243693,-0.044879753,0.093702815,0.0996352,-0.0018218184,-0.20508161
1977-11-20,0.69698614,-2.1394038,-0.14550692,-2.1133223,-0.2647797,1.1731924,-0.117780216,-0.08901875,-0.03737777,0.46202916,1.8587714,-1.3824407,-0.60447955,-0.9690375,-1.709402,-0.32371444,-0.480627,-0.3741877,-0.19279346,1.3740424,2.4242296,-0.19347367,-0.19616188,-1.8048575,-0.23271157,-0.17708056,0.047972396,0.13644856,0.13746774,0.19280764,1.8644097,-1.4194902,-0.40995163,-1.8669332,-0.25784743,0.34747398,-0.25598812,-0.2346419,-0.09539565,0.8351467,1.8387426,-1.5492454,0.44385388,-1.6256319,-0.84831405,-0.5679052,0.3683392,0.25284338,0.1327174,-0.64536834,2.959154,-0.5945027,-0.011706768,-2.014288,-0.021750107,0.22215752,-0.041678973,-0.14322406,-0.06551055,-0.01643634,1.9664775,-0.42310688,-0.060828082,-2.2452226,-0.98072153,-1.4391623,-0.20969427,-0.40047473,-0.18130098,0.3718566,0.3082746,-1.1982083,0.39889285,-2.733903,-1.145631,-1.5901282,0.25384063,0.15054947,0.038877152,-0.61252356,-0.6678419,-0.095562235,0.10932033,-2.4200597,-0.3346539,0.4862717,0.13436492,-0.0069201365,0.06687968,-0.17562994,-1.5238891,0.22199298,-0.009557618,-2.3546638,-0.40357703,0.27996954,-0.1118821,-0.17293951,-0.09377907,0.29084682,0.78771234,-0.19017586,-0.6136281,-2.4737246,0.720078,-0.11863593,-0.40151072,-0.5112231,-0.20087843,1.0194051,0.39087117,0.15726332,-0.46710774,-2.3651688,0.6774863,0.8213797,-0.18673408,-0.21567579,-0.037043985,0.84341407,0.90637594,-0.05911921,0.24088775,-2.8458846,-3.6586213,1.0329874,0.020981409,0.1094614,0.0549457,-0.2629672,-0.16466674,-1.1888447,0.67599845,-2.8947432,-0.3095733,0.37737566,0.47886264,0.2281932,0.1517487,-1.1852075,-0.9246383,-0.3696827,-0.07060519,-2.891081,-0.5883777,-0.17273434,-0.19638523,-0.4304703,-0.18121244,0.388454,-0.16225356,-0.88923645,-0.38625613,-3.3245103,-0.6665506,-0.23542473,-0.32946032,-0.3636152,-0.079361305,1.3508766
2000-11-03,0.41909853,0.84895015,-0.6282178,-2.7622771,-0.36645627,1.0269507,-0.33226427,-0.32997042,-0.12843412,1.0591131,-0.2355969,-0.7701417,-0.02619156,-3.2884567,-1.8351766,1.0528796,-0.002952844,0.015465155,0.043042306,0.2580301,0.96750677,-1.5792232,-0.20858422,-3.6288455,-0.55762964,0.63785064,-0.05923503,-0.1161228,-0.036434885,0.4668557,1.7673365,-0.86431384,0.11242763,-3.819875,-0.6455745,1.1567076,0.18353115,0.10967429,0.06397506,-0.3209221,1.2790381,-1.0217444,-0.1168305,-2.6157887,-1.1307793,1.1165744,-0.15221733,-0.29009336,-0.11808816,0.35585192,1.5994118,-1.5874423,-0.04554654,-3.0137382,-0.35095865,0.38794166,0.0022963285,-0.08551031,-0.033277065,0.16275185,1.3741401,-1.1684774,-0.5954185,-2.2850096,-0.8726391,0.63542295,-0.4120465,-0.3749954,-0.1619262,1.2570051,1.4057192,-0.9468322,0.21989734,-2.1447203,0.09229549,-0.70330024,0.25060564,0.14127141,0.060545642,-0.31716868,1.3114992,-0.7072785,-0.4767177,-2.0453434,-1.6314062,0.053177528,-0.4007553,-0.40873837,-0.20305401,0.9998204,1.533066,-0.16379717,-0.0746835,-2.9954073,-0.4422952,0.62485504,0.09983152,0.09688164,0.09791612,0.06801939,0.85478854,-1.5638124,-0.53434175,-3.3227146,-0.8916877,-0.25665826,-0.448022,-0.4523977,-0.23966007,1.3321058,2.0766993,-1.0628868,-0.27962324,-3.3790462,-1.4358718,-0.54085314,-0.15274686,-0.0033010766,0.008442908,0.7017845,1.9145652,-1.468503,0.20403653,-2.7839441,-1.0533682,0.3018267,0.21686435,0.16626641,0.13916804,-0.26249048,1.7203622,-1.4356318,-0.27538034,-3.3731418,-0.79724705,-0.82696396,-0.2567392,-0.30182475,-0.1821434,0.74629277,1.8165247,-1.5526345,-0.4888627,-2.9545105,-2.0945663,-0.5349784,-0.3788708,-0.12843576,-0.060179356,1.1806045,2.2305927,-1.6689901,0.03785292,-2.2578223,-1.4901001,-0.8336695,0.079592325,0.046218064,0.092583515,0.25928733
1995-01-22,-0.6102461,-0.6314981,-0.093605444,-2.8561273,-2.1773012,2.395936,-0.29327494,-0.42962343,-0.18098125,0.46414983,0.18302883,-1.2643125,0.223163,-3.1669858,0.27573138,0.1688895,0.16956274,0.033881254,0.07361855,-0.2921859,0.6213167,-2.1756208,-0.28942218,-1.9934536,-0.7303844,0.6523013,-0.24588346,-0.18958165,-0.09440336,0.87743014,2.6398876,-1.045881,-0.35816458,-1.5768479,-1.1155485,-0.43702546,-0.17587921,-0.15220891,-0.06921934,0.61233103,1.726995,-0.016557485,-0.24708615,-2.2147553,-0.96699196,0.6118482,-0.067541264,-0.065825224,0.007828641,0.25358066,-1.2389239,0.32347012,0.5933065,-2.1682806,-1.0119421,0.07756779,0.33937576,0.227648,0.12673762,-0.825096,0.27334908,-1.6907336,0.084271,-1.9070514,0.9947852,0.6636575,0.043045405,-0.07646358,-0.06164067,0.06215392,1.6048907,0.58181334,0.07053942,-1.2813904,-1.7220621,-0.25887626,-0.08765208,-0.13367648,-0.11337295,0.030714102,0.530028,-0.60862684,-0.114732295,-1.3578106,-0.7470414,-0.3951889,-0.13319325,-0.17908506,-0.090430535,0.37047213,-0.10801661,0.2602495,-0.20905568,-1.6262636,-0.23379485,-0.4559872,-0.11066385,-0.13613994,-0.03940168,0.37475836,-0.024653304,0.61517215,-0.28413388,-1.4922653,0.5181578,0.5992328,-0.10404772,-0.1312742,0.0036384335,0.49852592,-0.08152242,-1.7311734,1.1173524,-1.3977338,-0.33288813,-0.111543655,0.7668221,0.37690634,0.25047815,-1.9121572,-0.47245243,-1.9714109,-0.057661235,-1.7837417,1.0923259,0.53711253,-0.09906527,-0.19575255,-0.12727302,0.46505767,1.3325987,-0.82705235,0.68580616,-0.39771393,0.22803465,0.049021002,0.6224763,0.34506524,0.17845896,-1.3338965,1.9363815,0.70928,-0.6200693,-0.901861,-0.46264863,0.030901834,-0.45331407,-0.6729268,-0.3144831,1.2085097,1.0474695,-0.98163354,-0.10785836,-2.4627507,-0.5351492,-0.9852981,-0.018932432,-0.16190034,-0.04030039,0.52398825
1991-11-27,1.8465716,0.8545606,0.03440494,-3.6283617,-2.6450279,0.28306055,0.17120546,0.38118482,0.2686166,-0.17701015,-0.02770469,-3.2805538,0.33043358,-3.943673,-1.1030016,0.6762852,0.24489048,0.21013889,0.15925302,-0.28322557,0.91569424,-1.5857968,-0.2976241,-2.2562883,-1.4113888,-0.6103147,-0.29736274,-0.3646837,-0.1915267,0.71916604,0.07447107,1.2422025,-0.14414264,-2.5426161,0.73059404,-0.3239819,0.03603523,0.033901155,0.050113183,0.246283,0.9981602,-1.9790994,0.12837811,-2.5343227,-1.851749,0.29971993,0.0026576594,-0.11453538,-0.054855283,-0.04806908,-0.51843715,0.97652555,-0.14487489,-2.8816023,-0.2535202,-1.4056251,-0.15014535,-0.27784497,-0.13393712,0.41020316,-0.1561345,-0.45500353,-0.29879522,-2.9972293,0.1942864,0.6265582,-0.08917574,-0.1442735,-0.009861189,0.52361196,-0.29364017,-1.1730611,-0.21989316,-3.1087458,-2.1021795,0.292362,-0.21760023,-0.1807213,-0.04616912,0.7574119,1.2094678,-0.6353327,-0.5136869,-3.5955696,0.32891256,0.0652143,-0.2100009,-0.2633314,-0.08572963,0.7429361,-1.1927102,-0.25603047,0.25034022,-3.199921,-0.37081754,0.113243535,0.19656953,0.008803032,0.10950181,-0.3401268,-0.3390344,-1.8100798,-0.40636998,-3.707717,0.0932495,0.52589506,-0.2999936,-0.34125483,-0.11132124,1.020432,2.277236,0.49087104,-0.23480274,-4.0202737,-0.45636368,-0.21867812,-0.15185356,-0.19605486,-0.038178865,0.4632057,2.0804992,-1.8254727,0.05175832,-4.0150065,-1.5157645,0.013718426,-0.030631319,-0.12667683,-0.051604062,0.04054573,1.2194238,0.0043765083,-0.26787898,-3.386682,-0.21536689,0.34349912,-0.17714843,-0.20007308,-0.06320765,0.50281966,1.3605257,-2.362843,0.25313315,-2.8462071,-1.1494548,0.046188913,0.114771605,0.062790886,0.06773328,-0.21400374,1.6675276,-2.1288908,0.028838774,-2.2837794,-1.157891,-0.33932745,-4.8533082e-05,-0.16046284,-0.035896886,0.26064238
2009-08-08,-2.266347,0.48913795,0.195748,3.2500973,-0.38137215,-0.8932561,0.061274774,0.09303519,-0.32832092,-0.011269094,-3.1767838,0.9165304,-0.06770213,2.9350872,1.509329,1.3020449,0.007327281,0.27538297,0.14738522,-0.12862091,-1.8695008,0.36904,-0.3674753,3.6732042,-0.24891643,-1.0402856,-0.29850343,-0.16484159,-0.08650472,1.2435373,-1.6914726,2.1269784,0.83576435,2.1780834,0.65455353,-2.474937,0.61606103,0.7062034,0.13429087,-1.7087425,-2.3513026,-0.1423989,-0.12558171,3.5116699,1.5884788,-0.29983908,-0.10485896,-0.047543913,-0.03790515,0.17856324,-0.94222444,1.9913535,-0.07004699,3.9909768,0.29828936,-0.016875595,-0.0048365667,0.14127703,0.12505226,-0.14073563,-1.112321,2.6022532,0.2428761,2.7614915,1.2735637,1.7445949,0.3531145,0.29905015,0.20909156,-1.1930298,-2.3720417,1.0869157,-0.04264058,2.1530237,0.8640695,1.6969705,-0.0084709525,-0.072564006,-0.15402064,-0.07019398,-1.8847815,0.8465084,0.055841602,2.9166846,-0.222497,0.22558154,-0.0073973835,0.085622035,0.009014312,0.20628703,-0.6166114,1.270348,-0.15833397,1.8553897,0.67227423,-0.3707287,-0.077915184,0.036417257,0.053910095,0.11333785,-1.4407282,0.51816094,-0.055816263,2.161091,1.0918754,-1.6179899,0.04690896,0.1080378,0.01063873,0.3101779,0.07053557,0.6628642,0.079062186,1.6005054,1.4296991,-1.0855559,0.080095105,0.1706037,0.071669966,-0.15819415,-0.050360356,-1.0551311,-0.085536145,2.5359411,-1.8914026,-1.9160404,-0.37570134,-0.015859082,0.0036881717,1.1063247,0.36572057,0.6072477,0.5761807,0.6781106,0.3441472,-1.8755983,0.35004067,0.5834736,0.49498752,-0.9574575,0.14745034,0.22571114,0.5186374,-0.26749384,0.23732744,-1.7522147,0.3564055,0.17842007,0.10340331,-0.7999121,0.07285404,-1.0092764,0.10287218,-0.34429258,0.27786404,0.33818904,0.17840277,0.07936508,0.039829977,-0.20705914
1990-09-05,-2.924717,-0.13823599,-0.05063741,3.260465,1.9201038,0.7004385,0.069825746,0.03908413,0.0032328537,-0.02319506,-0.10792211,1.4191437,-0.40276587,3.944812,0.009869091,-0.67088413,-0.2532861,-0.16058716,0.079835705,0.9004538,-0.46626738,2.6036708,0.54070824,1.4445838,0.84565294,-1.6315976,0.5105611,0.4675116,0.16211672,-1.0865017,-0.99385065,0.97134805,-0.098683804,0.33554813,0.27754426,1.401829,0.016892962,0.024966672,-0.04105189,-0.074395046,-1.1334633,0.40745232,-0.21180591,0.9262677,1.1570321,-0.38988978,-0.13209993,-0.15336254,-0.16271633,0.54501486,1.2980225,-0.0037787557,-0.24339403,1.1175144,0.14694864,-0.08287584,-0.14335448,-0.05621548,0.0022542768,0.5002605,-0.22625417,1.0512388,0.67031336,0.09662265,0.60608083,-1.2774619,0.49205986,0.38197857,0.09811302,-1.1353979,-0.53938824,-0.42343727,0.6530283,1.2932663,-1.3195264,-0.19991589,0.3670306,0.3489383,-0.03875881,-0.51235956,1.3363597,-0.60229075,-0.20302942,0.09014633,1.5509231,-0.5574457,-0.19907993,-0.15739241,0.0016008257,0.5144267,2.231191,-1.5513126,0.015239069,0.23785877,-0.12578724,-0.20691553,-0.11085688,-0.06514123,0.052812707,0.16614968,0.20530662,-0.8436701,0.48357955,0.57323104,-0.1755598,-1.109175,0.31063032,0.2296039,0.11000113,-0.60459095,1.0387352,-0.9409696,-0.14566389,-0.72634435,1.2098185,-0.3931014,-0.027526863,-0.009500004,0.03838478,0.4322088,3.1394641,-1.9305636,-0.11995222,0.231684,-0.026640147,0.015204959,-0.3127491,-0.19377469,-0.030433442,0.49636883,1.6907463,-1.1641008,0.3623302,0.52081233,-1.0351264,-0.80775774,0.06763735,0.103184596,0.09747192,-0.21199861,2.0600078,1.3309182,0.054182254,-1.4455665,0.19977996,-0.69002527,0.075386465,0.0486608,-0.00875954,-0.14276862,2.1882207,-0.20134273,-0.22699349,-2.0373547,-1.9459018,-0.20122354,-0.35033172,-0.48371226,-0.2006892,0.8676546
1971-07-31,-1.6825708,2.1791353,-0.3477743,3.5428085,0.5664538,1.1245995,-0.18760994,-0.03386952,-0.000325865,0.22879627,-2.4772918,2.0718212,-0.23000641,3.5820103,1.1786184,-0.009181814,-0.017735995,0.057691734,0.0824687,0.3341381,-0.87247515,2.7773526,0.53738016,2.8662333,0.6994391,-0.6458438,0.4940011,0.3828196,0.067147404,-1.5425485,-4.339911,1.7713184,-0.18432525,3.034835,0.78969336,-0.98054576,-0.21257111,-0.11125399,-0.114486136,0.7389426,-1.3677512,2.9607222,0.18656911,1.6412542,0.60057867,0.64654213,0.19019297,0.33738965,0.14440314,-0.8518918,-4.142551,1.0102212,-0.2517953,1.2378743,0.43212503,0.5615968,-0.2907,-0.14090201,-0.14811905,0.48842883,-2.4042284,1.4052999,0.08311339,2.6400764,0.66124713,0.41113612,0.06786224,0.20388171,-0.019088088,-0.36974674,-1.9444025,1.3601702,0.2529336,3.7752435,1.3987471,1.0477656,0.36345783,0.28873754,0.022133147,-0.5980495,-1.303018,1.0911354,-0.07224846,2.2008157,1.64748,1.3640398,0.007944807,-0.020859018,-0.06161939,-0.4404502,-2.2536075,1.3842487,0.40074462,3.6040866,0.5766933,-0.81906796,0.23703942,0.18707481,-0.049814288,-0.53774637,-0.23387289,0.17736593,0.46562073,4.0976987,1.6039242,-0.048478514,0.40570557,0.23814534,0.1505202,-1.0882243,-1.1558346,1.0094883,0.7513205,3.7977905,0.07937248,-0.39830092,0.49977282,0.43849534,0.1326908,-0.8207079,-0.42387056,-0.2215834,0.42358464,0.88436127,0.39275205,-1.0757622,0.10709764,0.15369947,0.13223432,-0.47816584,-0.31897676,-0.3780171,0.08294109,0.83858943,0.14523345,-1.083961,-0.012664244,0.10329588,-0.010530647,0.18611303,-0.3591007,0.17447384,1.3263046,0.8765338,-0.11785598,-0.12938917,0.98562646,0.82554376,0.31800473,-2.408812,-0.26793882,0.11243326,-0.33546528,-0.9009869,1.4741348,0.058864363,-0.19160005,-0.5003365,-0.30296338,0.66789067
1985-10-09,-1.0171986,0.21584897,0.14945084,-1.0842496,1.1215351,-0.64698076,0.4285752,0.4289173,0.25956455,-0.48995742,-0.14619598,0.83054173,0.23723881,-0.38692075,-1.5503802,1.9949371,0.13961095,0.12698354,0.20714039,-0.40237817,-0.92672825,-0.87235963,-0.17012046,-0.43425146,0.27208,-0.082015924,-0.1673283,-0.31904036,-0.13888848,0.6485852,0.2598138,-0.85293245,0.05369465,-0.5925799,0.95337844,-0.3694443,0.1401375,0.10659431,0.078714065,0.013114639,1.6410913,-0.56889164,0.14269015,0.13021761,0.68432415,1.6724644,0.122584805,0.027442764,0.15644021,-0.23296615,1.9202894,0.6995977,-0.24564604,-0.7133583,1.2976205,-1.2472669,-0.20162681,-0.4790873,-0.3135568,0.3730572,1.6317557,-0.723089,-0.5082832,-0.5368419,-0.5522268,1.9306624,-0.23699203,-0.1471963,0.014618123,0.77414185,0.5630973,-0.37754115,-0.040199853,-0.83047855,-1.8416107,0.4453483,-0.03861686,-0.069570065,0.033623643,0.33252567,1.794314,1.8070033,-0.22653984,-2.9217825,0.32669663,-1.3554572,-0.18524444,-0.2715698,-0.17936869,0.27140278,0.3631543,-1.7445203,-0.45999268,-2.7267592,-1.8893499,1.3906121,-0.28370473,-0.22677387,-0.04033131,1.0382591,1.1951029,-2.0879354,-0.20582132,-3.4760087,-0.47538084,0.9561603,0.032771006,0.15780598,0.11620429,0.22640494,0.42056975,0.05891151,0.48199373,-2.0269167,-2.8633862,1.1856796,0.24881342,0.17823544,0.123241745,-0.70598656,-0.58936167,-0.056137607,0.32777044,-2.637749,0.016249448,0.4072124,0.22195819,-0.044480607,-0.027039299,-0.59241533,-0.39282957,-0.65024614,-0.12242597,-2.589216,0.5027953,1.5776961,-0.033363916,-0.18799128,-0.07857429,0.2906256,1.1069444,0.007208161,-0.5421332,-2.3201773,-0.3560192,-0.22207966,-0.4364636,-0.64131606,-0.31114545,1.1687198,0.83891416,0.41839126,-0.06830188,-4.2301197,-2.9594889,-1.5558889,-0.23903617,-0.16638093,-0.05999292,0.83854073
