,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159
1993-07-27,0.28731748,-0.17630829,-3.8695974,-0.32695302,-0.15026401,-0.26541275,1.9467989,1.8040729,0.26148412,0.21556935,0.30240333,-0.35642672,-3.9253273,-0.4633422,-0.14622658,-0.48031208,2.125509,0.5387927,2.4195888,-0.31494212,-0.11746312,-0.017627142,-2.787379,-0.09312592,-0.09625019,0.44157448,2.319018,0.8429969,1.2665762,0.025712488,-0.028501334,0.326967,-3.7866237,0.011085656,0.012331391,-0.018403003,1.3146678,0.95918995,-0.067161724,0.9497459,0.4113275,-0.459121,-2.2781968,-0.39557314,-0.118212044,-0.6624438,0.6046549,1.3543334,0.081920356,-0.32275647,0.10756538,-0.10254294,-2.8478413,-0.284134,-0.12782264,0.041589156,1.7108567,-0.58091325,1.4456795,-0.32918796,0.35896522,-0.30478466,-2.9477284,-0.2315246,0.055337917,-0.9385691,1.0948485,0.6042055,-0.06309485,0.8696977,-0.19297282,0.29226834,-0.7735647,0.16433421,-0.011672155,0.38417062,3.0209935,0.009741884,0.10356936,0.19474126,0.10431648,-0.15620255,-0.8952057,-0.22827211,-0.10430874,-0.1925239,2.8579886,0.03373715,-0.77480817,-0.070681036,-0.02233081,0.041557573,-2.5266073,-0.077189706,-0.036426313,-0.008526576,1.6640428,0.6332574,-0.17984703,0.4706227,0.13740471,0.06364694,-2.6458066,0.032314852,0.10242742,-0.65074253,-0.019383207,0.76450074,0.14052966,1.2742746,0.13181165,-0.24013734,-2.069,-0.24586433,-0.13612667,-0.19937305,0.5028009,-0.30762738,2.6473963,-0.28248137,-0.14870304,0.35691953,-1.0119631,0.13056844,0.01748113,0.048089422,0.6275958,-1.1116074,-0.32439953,0.7353162,0.27105692,-0.20233862,-0.8573061,-0.116890386,0.035676103,-0.46457803,-0.44118363,0.2954219,-1.5154806,0.21465556,0.0283888,0.2907493,-1.3750763,-0.05162289,-0.0035700835,-0.31386074,0.16472119,0.40441376,1.519871,0.90493226,0.022780756,-0.12851179,-1.5520461,-0.10069058,-0.08932218,-0.091501854,-1.5034095,-0.016656514,-0.32255864,-0.44356233
1999-06-26,0.4871716,-0.3978232,-3.6691992,-0.518241,-0.08575353,-0.7496976,2.4008868,2.439482,0.63445544,-0.004571963,0.2486931,-0.34427798,-3.417641,-0.30082807,-0.13236032,-0.098407105,2.203908,2.29237,1.005636,-0.50459313,0.25937948,-0.56488115,-2.263011,-0.3633638,-0.06475499,-0.39164558,2.5463488,1.2502487,2.5722394,-0.22516748,-0.19611731,0.033300456,-2.466903,0.06897859,-0.030739827,0.79088074,3.1751912,0.3384178,0.19297066,0.0044770595,-0.111903474,-0.05313615,-1.5184709,0.049857996,-0.11636375,0.9699298,2.123157,2.481322,2.2967446,-0.78711003,0.12346979,-0.15144661,-1.6305277,-0.24025436,-0.10218337,-0.01555139,2.3407366,1.9865988,-0.14698336,-0.057380654,0.2292971,-0.41930258,-2.5200984,-0.35926935,-0.16726007,-0.21188754,1.9350214,0.1282388,0.58442444,-0.62163544,0.112924665,0.13672347,-2.139484,-0.18877588,0.08217792,-0.92257714,2.9468136,-2.0621705,1.2813509,1.4772611,-0.10753923,0.26988614,-1.4511597,-0.021840593,-0.028403234,0.13884263,2.6287107,0.47685322,-1.6693699,0.72771925,0.45166174,-0.55088466,-2.640602,-0.5044211,-0.08391395,-0.9198243,1.6506549,-0.1236794,0.6299674,-0.10152071,-0.2481503,0.37711948,-2.4361105,0.19341208,0.035732605,0.45757094,1.7672077,1.0286727,-0.49386233,0.7926997,0.06462549,0.15146767,-2.075734,0.03599672,0.12541352,-0.5376964,1.1851444,1.693252,-0.24815097,0.9606088,0.2181677,-0.12783435,-2.6133344,-0.21918336,-0.03839069,-0.598298,2.0082526,2.017097,0.023361215,0.519598,0.04565478,-0.01542541,-3.2474377,-0.278811,-0.22941422,0.38189745,2.1690738,1.2284883,0.721879,-0.6126651,0.5397119,-0.55459416,-3.6053343,-0.5545622,-0.13794507,-0.7598964,1.4864173,0.0004651025,0.4034047,-0.5751051,0.015968258,-0.02383444,-2.4192111,-0.13170224,-0.06626541,0.15609524,1.978997,1.5331739,1.9747313,0.6269027
1995-04-28,0.21000268,-0.33289468,-0.88744617,-0.18600066,-0.007799102,-0.59404695,0.35057527,-0.89039946,0.24315813,0.40095076,-0.1491136,0.10546678,0.32166234,0.28853485,0.067045674,0.07580874,-0.55417573,-1.8058797,2.0763469,0.20620677,-0.015797209,0.08960747,0.56224537,0.06588587,0.022628468,0.11884034,0.98762137,0.082230255,-2.3317835,0.63395554,0.014218294,-0.10277494,-0.29989812,0.029349824,-0.049634762,0.09873206,0.07755426,0.24093273,1.0283507,-0.1474318,-0.009225244,-0.02639569,0.13231547,-0.019428195,-0.06632526,0.57480574,0.17385659,1.3172247,0.2802203,-0.4444347,0.040407892,0.023721442,-1.1716073,-0.03776523,-0.0038714306,-0.15306786,-0.15379071,-0.2698239,0.2898733,0.27727896,0.32159626,-0.28571236,-0.07429823,-0.23125754,-0.010131353,-0.5458708,0.5669111,-0.4146902,-0.19181219,-0.055270433,-0.03511511,0.026668772,-1.0634451,0.01736381,-0.039638154,0.1903442,0.31719992,0.5002377,0.11442341,0.42615306,0.02362137,-0.20343786,-1.4735572,-0.06282188,-0.13217893,0.4340816,-0.30002907,0.017339205,1.9731485,-0.66191643,-0.09242892,0.2825572,-1.4752474,0.1377542,0.13165835,-0.23073502,0.06051124,-0.17832676,1.182312,1.0026103,0.10143713,-0.034183793,-0.836816,-0.07265328,0.0007815417,-0.24021251,0.1392802,0.38756704,-2.7695537,0.39015946,0.13360803,-0.057697404,-2.888925,-0.14250506,-0.08579913,-0.0738912,-1.086144,0.5280013,1.0386347,-0.3137057,0.3440784,-0.32423842,-0.47457248,-0.24440812,-0.05613542,-0.45095947,0.87588716,1.6262598,-1.8965675,-0.08299467,0.11825608,-0.038099788,-1.9525573,-0.14138626,-0.06610903,-0.17926854,0.09127005,1.6439668,0.15803549,0.25932297,0.20205955,-0.29658872,-3.3114262,-0.24747033,-0.19334526,0.0691572,-0.2082682,-0.18500948,0.298723,-0.880459,0.00971132,-0.0040912274,-3.326176,-0.10382399,-0.083274886,0.13798845,0.9186004,0.66857433,0.7956211,0.20998068
1980-08-08,0.56181693,-0.47163922,-4.1321793,-0.56046176,0.013810262,-1.2413653,2.7908387,3.325881,1.092533,0.5100756,0.2618942,-0.20790179,-2.0674286,-0.29832062,0.008957721,-0.7811738,2.3616097,0.6021006,0.25980064,0.595754,0.13084446,-0.08460476,-2.2060468,-0.22535959,-0.09461345,-0.19773854,0.4999119,-0.175787,1.4131157,0.11388452,0.16090126,-0.3453297,-2.4077811,-0.4449259,-0.24472028,0.23814423,1.5360239,-2.118974,1.5922463,-1.22593,-0.045696694,0.08441807,-3.0080657,-0.08538336,-0.10487427,0.29755384,2.0597186,-0.22424679,-0.85579586,0.32718015,0.08883837,-0.0054684747,-2.41099,-0.072866,0.013051365,-0.3061817,0.82969,0.7352335,1.1881223,0.6821655,0.18471113,-0.18384711,-2.437365,-0.2557275,-0.032107115,-0.18447885,1.3237277,-0.9872579,1.0945165,-0.25182635,0.04725055,-0.121734634,-2.2103066,-0.14341964,-0.056993566,-0.07450121,2.4099016,1.3356197,1.1352328,0.45446092,0.35629138,-0.44996178,-1.3767676,-0.28297797,-0.0048521776,-0.7741126,0.86494917,0.94324243,-0.1723091,0.40463412,0.15959372,-0.03684725,-2.1475208,-0.054479994,0.09143412,-0.42692566,0.028957048,0.551436,-0.045689814,0.89242446,0.19336754,-0.16095771,-2.3819788,-0.28767806,-0.12186974,-0.39302114,0.06071084,1.110439,1.9192102,0.3638847,-0.035544436,0.14254965,-1.4237989,0.119698726,-0.019318324,0.30058557,-1.267586,-0.24517854,-1.2928725,-0.13873695,0.10857451,0.013489634,-1.9674042,-0.1324677,-0.037493728,-0.45239544,0.5487534,1.2558327,-0.16555235,0.6799707,0.09970123,0.066422746,-2.3374827,-0.04877349,-0.040604122,-0.10142184,-1.9936101,0.79962355,0.10765238,0.2089549,0.38232833,-0.37085342,-1.8510494,-0.25522178,-0.025260624,-0.6975506,-1.4913752,0.63035494,-0.26847628,-0.09726319,0.20548192,-0.25388673,-1.4138727,-0.2245503,-0.19531308,-0.07050417,-0.092325695,0.4335364,0.29154903,-0.64529496
2016-07-26,0.30304486,-0.008857575,-3.8285306,-0.34405142,0.024543352,-0.934756,2.5270798,0.8643119,2.3541114,1.0551957,-0.039416764,0.079586245,-1.6247402,-0.1642225,-0.042553097,0.4078352,3.2154334,0.059443824,1.5668188,-0.5050609,0.29176515,-0.18424004,-2.2876782,-0.36507365,-0.08595705,-0.195418,3.5126433,2.096851,-1.2698756,0.007879154,0.39268908,-0.4650324,-1.9768363,-0.49676463,-0.07433258,-0.7587527,2.5027843,1.9429613,3.0344021,-0.05743379,0.001383524,-0.109900296,-2.7082417,-0.150228,-0.107584,0.19226888,2.4189546,0.7360151,-0.36199597,0.049327448,-0.16987424,0.15939583,-3.0033512,0.027710764,-0.02729134,0.50712657,1.7098705,0.90466744,1.8026699,0.09572313,0.16473675,-0.17261407,-1.6416601,-0.19158392,-0.080856174,-0.25596195,1.6179949,0.29414794,0.7587985,0.051711198,0.042265322,-0.2462353,-1.7221447,-0.29126003,-0.18381651,0.11496897,2.0834749,-0.72045803,0.98138046,-0.58109355,-0.036073253,0.007519506,-2.4607956,-0.07042238,-0.08691023,0.300842,1.1705594,-0.6081448,-1.1478417,-0.16330133,0.25601393,-0.078315854,-2.2016902,-0.22519894,0.05913764,-1.0349884,1.8819826,-0.08366379,0.7528487,1.3325851,-0.2104553,0.12934257,-1.2521572,-0.009815875,-0.19107792,1.0829709,1.3728063,-0.6717665,1.5527558,-1.0976498,0.32975328,-0.4309401,-2.4255886,-0.3967979,-0.06451705,-0.6185733,1.3783597,-0.21524806,0.4880276,0.13325343,0.03556435,0.17559965,-1.0285136,0.062218398,0.10941695,-0.5948551,-0.015401488,0.6625599,0.7092829,1.6240183,0.48313725,-0.72532094,-1.436577,-0.52457494,-0.1383157,-0.32145426,-0.24860229,-1.8557483,0.09041533,-1.3777102,-0.009786336,0.42936158,-0.18853545,0.09714722,0.1519408,-0.2785215,1.1781533,0.9278744,1.5951116,1.4163572,0.031003803,-0.011347933,-0.778126,-0.18269378,-0.12493859,0.0038247276,0.7847924,1.0100466,1.3230727,-0.0007180013
1971-01-04,-0.44199648,0.19614297,6.6585207,0.39593548,0.2735063,1.0726463,-1.259765,-2.1411638,-1.1238886,-0.24101785,-0.13842463,0.009445256,3.685763,0.13645646,0.08397715,0.29037166,-1.8115097,-0.9285692,-1.929091,-0.19992441,-0.20782912,-0.07865818,2.9293659,0.17948176,0.13763629,-0.104498394,-2.4371765,1.8050194,-1.1127373,0.44027993,-0.11472962,0.002933327,0.6020948,0.13618724,0.12858862,0.18080088,-2.3332212,-0.43145758,-0.96599025,-0.15610091,-0.08967772,0.18783952,1.6641319,0.18388633,0.3259309,-0.98249936,-2.4599192,-0.005210042,1.5042717,1.4925197,-0.25187236,0.17946221,1.4328073,0.21782629,0.2302647,0.3206075,-2.981017,-1.2987614,-1.6675283,-0.12187088,0.07805126,-0.66726714,1.2316165,-0.14176844,0.112091154,-0.2827119,-2.892426,-0.7965534,-0.26954043,-0.941943,-0.48389405,0.28297192,2.6788728,0.4504214,0.1634543,1.1761326,-2.7326217,-0.7049836,1.9148594,-0.24646425,-0.23825017,-0.0815245,2.240233,0.23288248,0.16261256,0.26169553,-3.0225108,-0.0857825,-0.71431607,-0.12918696,-0.18102315,0.19567387,1.0086155,0.23052622,0.29972202,-0.013831614,-3.155608,-0.96161777,-0.9629546,0.46530637,0.12055721,-0.4397812,0.66106045,-0.13010873,-0.03928265,0.20984691,-0.88901794,-1.4516653,0.029589918,-1.8287784,0.06840623,0.104143515,3.3531306,0.041229717,0.3054964,-0.87480277,-0.25432324,-2.7625222,0.18261215,0.99268156,-0.4985017,0.88185394,2.6933358,0.61358917,0.1759943,1.1670139,-0.9978916,-0.19539541,-0.83330745,0.66730535,0.2183097,-0.6674855,3.4326246,-0.24531277,0.0018815827,-0.25973746,-2.09944,0.2635393,0.4659222,-1.8178929,-0.048073336,-0.078841574,2.803643,0.077866904,0.021517776,0.43767658,-1.096536,-0.64514357,-3.1915462,-0.6870024,-0.12729725,0.016561504,1.5721021,0.09459995,0.0589743,-0.06811509,-2.3782992,-1.3263886,-1.5264599,-0.54721725
2001-03-11,-0.16343968,0.023204654,2.313866,0.17494167,0.08548814,0.045697108,-0.8627493,-1.562559,-1.5928739,0.37586498,-0.31098172,0.4034502,1.2022158,0.30436802,0.054335486,0.941142,-1.5572994,0.7207519,-0.60377276,0.079873644,0.1591931,-0.2377953,-0.09720312,-0.12599885,0.0030580834,-0.07926006,-1.1453198,-1.175021,-0.022880383,-0.7606136,-0.075131185,-0.0064960234,0.18966593,0.07746664,-0.0060469406,0.3285189,-1.1510576,-1.8067755,-0.051652625,-0.5527934,-0.1295333,0.053938404,0.18991025,0.10289393,0.024260826,0.5080744,-0.875867,-0.71837395,0.11993946,-0.2123,-0.20570873,0.56307036,0.26626775,0.3120102,0.15737696,0.53315353,-0.015604187,0.54272246,1.1665455,0.34964296,0.475847,-0.7525533,1.9017656,-0.3678818,-0.00348505,-1.2552229,0.48589766,0.30388957,-0.07549031,-0.14534517,-0.2619771,-0.2095595,2.3676212,0.14867274,-0.15205431,1.6841933,0.08180597,1.1074517,-0.005487591,-1.6210177,-0.19378385,0.36387652,0.31512704,0.17199478,0.12403034,0.32976624,-1.0115854,-0.6228496,-1.2079155,0.8118716,-0.29635286,0.8729757,-0.7021232,0.3344661,0.06056795,0.74762946,-0.8602826,-1.9539891,1.3785496,-0.2522956,0.36867785,-0.2625928,1.4888195,-0.41584805,-0.030507812,-0.8729466,0.40834406,2.3745809,-2.1794505,0.12474859,-0.032107927,0.1709522,-1.2199932,-0.06386925,-0.09791896,0.33276805,-0.70960075,-0.2764902,0.6801587,-0.32481164,0.14252064,-0.012076252,-0.9898335,0.032064766,0.06897937,-0.65200806,-0.6027875,0.23092589,-0.82181317,0.6466884,0.32507414,-0.38135576,0.12218387,-0.33997726,-0.133802,-0.37455982,0.2568764,0.88404965,-1.1277487,-0.39152125,0.23051354,-0.25444704,-1.9875736,-0.21896191,-0.06693418,-0.2095395,-1.3189251,-0.27954495,-0.8622284,-0.15376809,0.12615658,-0.11171792,-1.8198565,-0.16534394,-0.15252022,0.06624624,-0.05327944,0.27853325,1.0851786,-0.40292054
1993-04-06,-0.13609287,-0.12571847,0.69357777,0.05986304,-0.03758558,0.70694095,-1.136682,-0.5302911,-1.5913411,-0.68991023,0.07645185,-0.14471479,0.56178945,0.041623652,0.16416107,-0.4266321,-1.2057288,-0.025008421,1.5209092,0.5139561,-0.15473253,0.0096585825,-0.08315635,0.08146246,-0.009179759,0.60788596,-0.0807572,-0.02465671,-0.80752885,-0.17798409,-0.022999814,-0.0003708694,-0.41627026,0.08977907,0.03164087,-0.0048306985,-1.7371651,0.018709177,-1.7275012,0.20718747,0.122443005,0.0180104,-0.30131152,-0.063513495,-0.018245533,-0.11017647,-0.6361202,2.108735,-0.29320312,0.26032874,0.06308752,0.04971262,-0.91649467,-0.0328417,-0.02954153,-0.06309538,-1.398762,1.2419019,-0.51590365,0.068569966,0.26518548,-0.15263732,-0.8001179,-0.19195428,-0.040675297,-0.63147753,-0.5094386,-0.71649575,-0.14982599,-0.37252802,0.020199303,-0.076781444,-0.2032646,-0.07409762,-0.08195338,-0.029601088,-0.3251166,-1.1259398,-1.290095,-0.4403819,0.5500282,-0.79833794,-1.4300404,-0.44533473,-0.10127273,-1.0531945,-0.4577309,-1.5567847,-1.541485,-0.2135889,-0.24132702,0.44718194,-1.2234467,0.2040431,0.003515754,0.3647638,0.36193407,-1.38042,0.8969239,0.6752717,0.13906476,-0.1303637,-1.4204625,-0.10064031,-0.03854104,-0.2502806,0.2759329,0.22703965,-1.3897028,0.18380766,0.22494482,-0.20586699,-1.1865588,-0.25501215,-0.10611263,-0.38928524,0.75886166,-0.08464503,0.7337574,-0.05485592,-0.017869709,0.1289142,-1.9755784,-0.11250495,-0.09799208,-0.057077274,0.10798855,-0.44079968,0.5483258,0.44395489,0.18204296,-0.04550734,-1.5551357,-0.09185921,-0.013797894,-0.32391155,-0.44732633,-0.51578224,-0.6805142,0.18044017,0.027639842,0.16877389,-1.0322491,0.061904952,0.043803424,-0.25611097,0.3578301,0.7629913,0.28570452,0.42992964,0.38597122,-0.40122372,-0.12777668,-0.3184647,-0.062132224,-1.0090282,0.861453,0.3347886,-1.5406537,0.12445293
2003-04-18,0.08429187,-0.12683925,0.65417033,0.02093667,0.14344494,-0.67639047,0.37884784,-2.3678799,-0.7730009,0.43210593,-0.09387615,0.18627492,0.4754542,0.09661559,-0.00887585,0.4901597,1.0192401,-0.9489409,-2.0177886,0.065054,0.27867782,-0.21934706,-0.17658953,-0.10740441,0.075631335,-0.9212457,-0.19498625,-0.6248853,1.0775025,0.5513355,-0.12861466,0.12611867,0.02735186,0.16736978,0.017967757,0.3001808,0.26233128,-1.648093,0.42168444,0.1781945,-0.2594874,0.51512665,0.17417748,0.2919304,0.060195293,0.5367719,0.38273045,-0.9138482,0.22747666,0.27397984,0.36391044,-0.41410768,0.31409553,-0.28625625,0.062356908,-0.76207554,-0.15261063,0.64149463,-1.5483358,0.34979615,-0.14282647,0.12637629,-0.8791504,0.10204658,-0.059555266,0.9692486,-0.13952449,1.7519242,1.7399197,-0.5284712,0.16279031,-0.10727974,-1.7173057,-0.13256286,-0.031498235,-0.26509976,-0.8959169,2.0549686,0.8537966,0.42340443,0.14891973,-0.15346678,-2.2081704,-0.26118833,-0.1075543,-0.20742786,-0.4151895,0.2734118,0.35953042,-0.25918946,0.057642132,-0.09375353,-2.4336758,-0.12274065,-0.20980664,0.47800592,0.8138099,1.4920778,-2.1225066,-0.82707274,0.24072017,-0.18137456,-2.6499567,-0.3489644,-0.10714917,-0.34526002,1.4911138,1.379233,0.6647096,-0.20429127,0.24152239,-0.29775143,-2.6026757,-0.33899853,-0.14819752,-0.22777793,-0.1466692,0.914442,1.003834,-0.4620915,0.26821634,-0.14418447,-2.626688,-0.31644583,-0.08843045,-0.59140605,0.56272924,-0.33848804,-0.5734067,0.26801896,0.237104,-0.16767682,-1.3764926,-0.30569294,-0.18671793,-0.3311196,0.32036775,-0.008372474,-0.2466633,-0.18434806,0.10532241,-0.15074642,-2.7842865,-0.16613202,-0.14256777,0.21668142,-0.035245556,-0.5590827,-0.4119643,-0.6179459,0.11461644,0.026667442,-1.877833,-0.049172245,-0.020939039,-0.4431649,0.15217152,0.87384963,1.7687649,0.76694876
1984-04-29,-0.33256117,0.20345786,0.05561316,0.088812575,-0.08994897,1.3862594,0.44292197,-1.0394094,-1.7179472,-1.1117244,0.07736049,-0.04983156,-0.9816226,-0.1842547,-0.14033194,-0.09037788,0.5498033,0.7035768,0.47492895,-0.013376044,0.13085729,-0.20070292,-1.839152,-0.19066176,-0.12871324,-0.04165205,-1.0233885,-0.32939237,-0.5470612,-0.3770372,0.13773356,0.035062935,-2.0194128,-0.18881802,-0.018842172,-0.51106423,-0.037303023,-1.3545622,0.6174334,0.41395754,-0.06973476,0.21129212,-1.2901788,-0.031362,-0.1283675,0.47883376,0.36444506,0.093131185,-0.69799995,-0.27401355,0.1702392,-0.14900725,-2.2280216,-0.28739023,-0.13255295,-0.10852236,0.18307789,1.1402878,-0.1871002,-0.4116321,0.32993692,-0.20256326,-2.9002595,-0.30792728,-0.084095106,-0.5931937,0.014944907,0.7080967,0.41185054,0.13749321,-0.14976363,0.22140001,-3.5358453,-0.024711158,-0.18826266,0.87834054,0.44427368,0.63455486,1.9823785,-0.5973441,0.20476522,-0.045910385,-2.0114384,-0.12730975,0.049187075,-0.66614723,0.38709414,0.27425444,1.4743365,0.6212729,0.2488923,-0.3080778,-0.8144002,-0.2936761,-0.090514526,-0.54922897,1.7114381,-0.16956635,-0.06976648,0.09274586,-0.11226188,0.20623839,-1.762163,0.07673989,-0.009625139,0.33310434,0.13145576,0.36985883,0.40985796,0.466023,0.15019727,-0.018573027,-2.0152657,-0.22476111,-0.06539677,-0.40773755,0.2182387,0.13648202,0.86169267,0.38805795,0.0694366,-0.11847494,-2.438339,-0.30592132,-0.250559,0.30832258,0.16456011,-0.64394724,-0.11468757,-0.9473242,0.35541314,-0.42598557,-3.110709,-0.3728468,-0.12788011,-0.4933438,0.35120225,0.22881742,-1.0095658,-0.37921175,0.09396328,-0.08411218,-2.8584414,-0.13481836,-0.006364054,-0.298096,2.892663,0.6379485,-0.66570836,0.48316652,0.13500527,-0.14528,-2.602539,-0.22599487,-0.13562158,0.07795387,2.3797622,0.93441445,-0.25994027,0.08832683
