,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159
1993-07-27,-0.055388033,-0.0027011298,0.03380277,1.7689955,-0.0051852018,0.042001948,0.055167586,0.004718229,0.0123522235,-0.016687635,-0.012624912,-0.006635634,0.021812886,1.568078,0.0037314445,-0.0009145513,-0.004560277,-0.0067814738,0.016294543,0.008436158,-0.016376317,-0.0023007337,0.025073,1.0913433,0.0033922046,0.011502229,0.016881198,-0.008290857,0.0061434787,-0.0045180283,0.0076622367,-0.005543977,0.011111662,1.3986403,0.010373242,-0.012073949,0.005947754,0.005609393,0.008433851,0.001624912,-0.0011673048,-0.003471369,0.030939795,0.88444126,0.007018253,-0.009301312,0.013599709,-0.02165097,-0.0051545077,-0.0024854764,-0.021668509,-0.0023400392,0.017772876,1.14581,-0.006014295,0.018900104,-0.0014423132,-0.009520054,0.0074137338,0.0046422184,-0.0017222837,0.0019225851,0.023499146,1.0439472,-0.007403195,-0.0075772926,0.007199973,-0.010585085,0.01543633,-0.0018520206,-0.004812248,0.00046971813,0.032946974,0.115306854,-0.010963824,-0.0032009482,0.0016960055,-0.022784248,-0.0023728218,-0.0048542395,-0.030532457,0.0028110966,0.03425777,0.35496113,-0.015749842,0.025223844,0.010850951,-0.007852212,-0.0113673825,-0.009698689,-0.009951144,0.002472818,0.012391746,0.9645926,0.001035437,0.01435332,0.018555433,0.0029039383,0.00439208,-0.0069849603,0.006224893,-0.010876505,0.020401888,0.9603665,0.010854222,-0.021064207,-0.0022767335,-0.009805635,-0.012141425,0.0044509023,0.011028163,0.010885067,-0.014291242,0.63577646,0.009297818,-0.0075664893,-0.011621192,-0.016931474,0.031005695,0.0064291507,0.009903289,0.003808584,-0.0023031533,0.2319307,-0.00308948,0.00039238483,-0.023978546,-0.008767739,-0.000119934324,0.0072225034,-0.0024989694,-0.0060770847,0.019370317,0.35597745,-0.004723996,-0.007512778,-0.0051267,-0.00064080954,-0.02269432,-0.0008626804,0.017712347,0.012352735,-0.027583078,0.4074612,0.022655584,-0.02185677,-0.019045576,0.00392361,0.017934311,0.0049447715,0.0038852245,-0.005812997,-0.0025345087,0.5780463,-0.00032556057,0.0025671422,-0.0056509823,-0.005120188,-0.001842686,0.0068801045
1999-06-26,-0.050565157,0.0017261729,0.038494132,1.7201245,-0.0051646307,0.032374427,0.06384887,-0.0016304702,0.02421816,-0.01994798,-0.013765365,-0.01039104,0.03707798,1.4195093,0.0050927103,-0.0035498068,0.015144274,-0.0028663129,0.0060056783,-0.00017822534,-0.016585417,-0.001303684,0.03357905,0.8844217,-0.0025328621,0.0019675791,0.011697352,-0.02623327,0.016933262,-0.0015792176,-0.03267859,-0.012489552,0.04296439,1.0051754,-0.0144984685,0.021227531,0.0151513815,0.00444901,-0.006873899,-0.004364703,-0.0024409294,-0.0005524382,0.031079791,0.46579027,0.0016847029,-0.013323203,0.02874446,-0.021341354,0.016265139,-0.011419833,-0.02500254,-0.0007250551,0.03834542,0.65159094,-0.0062127113,0.014564574,0.0396903,-0.014113173,-0.0032084123,-0.016351622,-0.022178613,0.0021942817,0.026155524,1.0531353,-0.009846009,0.02301184,0.0196746,-0.014415145,0.009242444,-0.0049969144,-0.01386679,-0.0026211757,0.020827144,0.7301813,-0.016704734,0.00427562,-0.032906994,-0.019659713,0.0046759145,0.013537586,-0.03064119,-0.0014692005,0.035382792,0.62195873,-0.012453005,0.025946729,0.033419043,-0.00012011826,-0.013703492,-0.016789123,-0.020832479,-0.0035811588,0.03304486,1.055013,-0.0130255185,0.015467301,0.01083377,-0.016996235,0.0029715337,-0.0006079972,-0.002090089,-0.005098993,0.023264028,0.90507364,0.0029802695,-0.0037471056,0.02451165,0.0012048334,0.0026216777,-0.009712093,-0.0033116117,-0.013798976,0.037511863,0.778231,0.0014109686,-0.018462777,0.015918985,-0.009916127,-0.015405648,-0.006065592,-0.02668897,-0.0030088257,0.03432876,1.1518567,-0.0013942271,0.01461371,0.03970842,-0.008610278,0.0035984768,-0.012163602,-0.012734316,0.0018414631,0.013354138,1.3587633,0.008789547,0.013410561,0.01568836,-0.0059916675,0.011532475,-0.0014021993,-0.01962024,-0.0131356325,0.03616274,1.510685,-0.0062061995,0.008364975,-0.007941619,-0.006380081,-0.0071501313,0.010284446,-0.00081499666,-0.003226081,0.006844744,0.83992374,0.0120173395,-0.023673967,0.017814875,-0.01748477,0.025246736,-0.0026172996
1995-04-28,-0.01975891,-0.0032192469,0.021806255,0.2893794,-0.01476042,0.007425025,-0.020976707,-0.018678412,-0.007721045,0.00991983,-0.003050819,0.014649499,-0.017188653,-0.38966927,-0.0028651878,0.027040727,-0.026764944,0.007979706,0.027540136,0.0013941154,-0.007649213,0.008455612,0.0025161356,-0.11520225,-0.0072770566,-0.025997713,-0.022749647,0.012425944,-0.016456526,7.463992e-05,-0.0072972327,0.0027866103,0.010196775,0.073070124,-0.009184256,-0.0013155341,-0.0011881441,-0.0050545633,0.007241236,-0.0039929934,-0.007826701,0.014987104,0.0024210215,-0.07708004,0.003577076,-0.00869792,0.0030307472,0.00063344836,0.006060411,-0.010131706,-0.0012512207,0.00563531,0.00052934885,0.377788,-0.0095547065,0.0065207034,-0.011158332,-0.011731893,0.009862331,0.003932692,-0.010025196,0.0019104704,0.010135666,0.0070049167,-0.0051469654,-0.0021295324,-0.022095397,0.0005543828,-0.010270699,0.0022509098,-0.005842395,0.0021465123,0.0017502159,0.38681537,0.006953791,-0.005754754,0.004148379,0.00030745566,-0.0026974645,-0.003585592,-0.008307025,0.0042448677,-0.0028804839,0.5101746,0.0033212155,0.005629845,-0.006143689,-0.0074392855,0.009883943,0.0025219023,0.009410888,0.012786638,-0.009649172,0.3748277,8.535385e-05,-6.492436e-05,-0.008679464,-0.011990175,0.024290841,-3.2946467e-05,-0.0035134554,-0.002645798,0.014183104,0.31450826,0.003958173,-0.00091958046,-0.0049215853,0.0047580153,-0.03343821,-0.003798034,0.013322838,-0.00021664426,-0.004462853,0.9637612,-0.005420305,-0.0050491095,-0.003073901,-0.014252424,0.025950499,0.005851537,-0.001314573,-0.0046016704,0.030226849,0.17700416,-0.0020487905,-0.018170714,0.005168766,0.0018965155,-0.025612902,-0.009635951,0.0030667707,0.008267827,-0.0026854128,0.7407321,0.01745049,-0.0025275797,0.026711926,-0.0096015185,0.006597556,-0.0086938515,-0.017844662,-0.0057620294,0.010837629,1.3894594,-0.0037037581,0.028512955,-0.002039656,-0.004579857,-0.004377163,0.008813195,-0.0068023875,-0.00964948,0.009432152,1.1484873,0.00049785525,-0.013835087,0.011420384,-0.019780189,0.015147724,0.0033494234
1980-08-08,-0.022942662,0.008616421,0.022994839,1.7366834,0.007007286,0.008447342,0.074141145,0.0010247827,0.047581647,-0.02480625,-0.00090598315,-0.0031339377,0.033435352,0.80118084,0.00406754,-0.014090747,-0.012653366,-0.025553346,-0.0033385623,0.0071629956,-0.010663398,0.005404886,0.00064124167,0.7772324,0.006698355,0.0074607804,-0.007662639,-0.013566598,0.00837529,0.004837483,-0.037345573,0.0014692806,0.010172069,0.9892851,-0.018760156,0.04432928,-0.02219911,-0.013006225,0.0045161974,0.0116530135,-0.028686054,-0.00474789,0.026968755,1.2264104,-0.010524351,0.026817411,0.014233962,0.006893337,-0.004131578,-0.0036677383,0.0029549375,-0.0007096734,0.015645325,0.8444227,0.010045238,-0.013422683,0.0006489605,-0.01884307,0.0071823644,0.0020311624,-0.032558367,-0.010560177,0.02873189,0.98155785,-0.01713442,0.025391914,-0.008942708,-0.0075436532,-0.007586441,0.00781621,-0.010856837,0.0027206875,0.020571373,0.75123453,-0.0046995506,0.0014109164,0.015991122,-0.00798288,0.022037901,-0.0070645213,-0.0043495074,0.0037146397,0.026559815,0.4473003,-0.004387811,-0.0038728341,0.005271286,-0.011426479,-0.005295347,-0.005594313,-0.023376897,-0.012215013,0.0313598,0.81178117,-0.007355787,0.0043697283,0.0012574792,-0.0023597032,-0.017324394,-0.00023883581,0.015775673,0.016762476,-0.023897484,0.6838614,0.018031366,-0.016039684,0.0006570816,-0.006718397,0.041453026,-0.00041647255,0.0119561255,-0.005654311,0.00263457,0.5144224,0.00040215254,-0.009186827,-0.013722792,0.0074543804,-0.018335745,0.002952695,0.009370238,0.0031768642,0.0014697164,0.6629797,0.014492802,-0.01357545,0.0032440722,-0.00445275,0.003126693,-0.001654543,0.030216418,0.0054809526,-0.021550879,0.7842516,0.019687355,-0.029419705,-0.019879714,0.007037118,0.00938695,0.0070081353,0.01993493,0.0009433292,0.00052165985,0.6408845,0.007056929,-0.018834934,-0.016937926,-0.0068779737,-0.0011615809,0.008535132,-0.0067047775,-0.0019115563,0.007571146,0.506709,-0.0011775419,0.0028674453,0.0028253347,-0.007074237,0.0026999516,-0.00045790523
2016-07-26,-0.032489114,0.0019459873,0.018730871,1.6392671,-0.001942344,0.014255643,0.039285123,-0.0026955903,0.037739504,-0.010304473,-0.016517185,-0.00612898,0.034231283,0.5787977,-0.009116411,0.0056997836,0.0064501613,-0.018897548,0.0015808046,-0.002059225,-0.044854768,-0.0113969,0.06253754,1.0758854,-0.016412172,0.025659315,0.03579712,0.0030959696,-0.015930027,-0.013518263,-0.009710319,0.004233621,0.023134753,0.74750364,0.0068617985,-0.008306816,0.015523151,-0.027388677,0.024094995,-0.0032423958,-0.036000855,-0.003416732,0.032685213,1.1675143,-0.008105837,0.034230806,0.02554214,0.00078877807,-0.0045730043,-0.0074833184,0.0063045993,-0.0030205864,0.009062737,1.0463394,0.007270202,-0.011177942,-0.0016895086,-0.008559018,0.016486358,0.004459448,-0.0052253306,0.0017450526,0.021682583,0.54432726,-0.0003908202,-0.0037128702,-0.0034550577,-0.017408684,0.00094151683,0.00051131845,-0.010743961,0.008129559,0.0021066368,0.55725646,-0.0012698248,0.018019162,-0.010531232,-0.011875987,0.008982324,0.0031314567,-0.021119587,-0.004507385,0.024707295,0.99218976,-0.012888294,0.028314836,0.007390514,0.004390523,-0.010753263,-0.0028873235,0.0025531054,-0.00227502,0.020791821,0.7672924,0.0039883927,-0.018930659,-0.014842823,-0.020645708,0.0032946523,0.008791089,-0.019116588,0.00011518225,0.01125446,0.3956522,-0.002515085,0.01449462,-0.0148239285,-0.003547877,-0.0023922813,0.0018163994,-0.019011773,-0.00093277916,0.02001448,0.8885293,-0.015123393,0.015419997,0.0014843047,-0.0022666454,0.011435215,0.0004063174,0.025604926,0.014647551,-0.011974633,0.21092659,0.023322858,-0.037323833,-0.018581614,-0.0023277402,0.0094762845,0.00066396594,-0.02246815,-0.011621201,0.025400639,0.5499339,-0.028794937,0.02309607,-0.026080742,-0.010887906,-0.012564893,0.01367823,-0.018847704,0.006131295,0.01907041,0.04957263,-0.0027822107,-0.0109552145,0.013079897,-0.002456367,0.005324471,-0.012187317,-0.01388111,0.00790938,-0.0023818016,0.32952732,0.000714235,0.011887372,0.02034001,-0.0010709763,0.016932543,-0.008891474
1971-01-04,-0.0023776144,0.041628633,-0.03622967,-3.2776031,-0.0024634302,-0.040952533,-0.15290101,0.11890963,-0.023066029,0.0032482147,-0.0027673095,0.00097518414,0.0036050975,-1.3095945,-0.004800357,-0.0064215064,-0.009637281,0.010223061,-0.018242035,-0.018961333,0.0032434613,0.017863829,-0.0033764988,-1.0827001,0.00018882006,-0.042569563,0.0030431747,0.0030015707,-0.0067269728,-0.018907402,-0.0046159625,-0.006237084,0.014149278,-0.120759636,-0.017776858,0.0020984188,0.016792089,-0.013961986,-0.013384985,-0.010301609,0.02709762,0.007431414,-0.010258883,-0.87988555,0.015267789,-0.004250817,0.0041814297,-0.011696562,0.010239993,-0.0027691983,0.013195224,0.0083191395,-0.0129252225,-0.5036739,-0.0008237213,-0.014796361,0.00067582726,-0.017540962,-0.008760514,-0.0055486187,-0.013053633,-0.014433207,0.02447538,-0.4486436,-0.02036601,0.005250141,0.0037840605,-0.010027096,-0.018696822,-0.004556544,0.0065035373,0.0034594238,0.01127851,-1.2110323,0.0015965924,0.0034707263,0.015092984,0.0044931173,0.009086604,-0.01483243,0.013056867,0.0068355314,-0.006067261,-0.8377992,0.006184496,-0.017500818,0.0012225062,-0.01517643,-0.0042992416,-0.007008627,-0.0013668984,0.001144737,0.0054094046,-0.31677583,-0.010187976,-0.0028589666,0.007101938,-0.026445389,-0.011074791,-0.0056999326,-0.011189334,0.0059588775,-0.004310131,-0.35455748,-0.012112882,0.042013198,-0.03137566,0.0031200498,0.005720513,0.008753531,0.014309607,0.005133208,-0.0076857656,-1.5804768,0.0040926114,-0.010069653,-0.04686956,0.025603876,-0.007013583,0.006345473,0.007453531,-0.0025633387,0.008933008,-1.0005592,-0.002682723,-0.0152772665,0.0034762323,0.004940748,-0.011920605,-0.015083037,0.022125222,0.016708042,-0.019151315,-1.7127947,0.006423898,-0.005400546,-0.04168217,0.014774516,-0.0012728167,0.005316429,-0.009007134,0.023320768,-0.0125704855,-0.97199154,-0.001981385,-0.008573659,-0.018453375,0.001974672,-0.00493465,-0.015586913,0.009395264,0.0058152936,-0.013686255,-0.62337756,-0.0009117201,-0.0054498687,-0.026624039,0.010441795,-0.014999513,0.0017157197
2001-03-11,-0.00014191121,0.007014379,-0.006409794,-1.0747702,-0.0029591694,-0.019882202,-0.038851485,0.029160812,-0.015310713,-0.003132321,0.009382211,0.008522976,-0.0044727772,-0.41055605,0.0048684105,-0.023099065,0.0032703578,-0.013566554,-0.0048732953,-0.0070096143,0.0047783926,0.006668769,-0.016468242,0.050644636,0.0029558092,0.002470106,-0.022450373,-0.013686866,0.0024762787,0.010500647,0.00038915873,0.0016126744,-0.006544575,-0.1109837,-0.0010196716,0.004669696,-0.015560314,-0.009470314,-0.0025233394,0.0036554113,-0.0140887275,-0.0021058172,0.008609861,-0.060919642,-0.010983303,0.0021143034,-0.005158633,-0.00016076863,-0.0073128543,-0.002589047,0.0022188053,0.0074036755,0.0033735037,-0.19593272,-0.005617045,0.009360708,0.02115126,-0.006544307,0.018352464,-0.013411764,-0.004754238,-0.0031606741,0.012775555,-0.86136055,-0.014558017,-0.004406847,-0.018624917,0.016107306,-0.011696828,-0.00067541003,-0.0073654577,0.013234854,0.019604675,-0.9758601,-0.0056705847,-0.017968819,0.006458834,-0.009018168,0.0015651453,-0.0145254135,0.0030050203,0.003969986,-0.0071451515,-0.03025347,0.003765747,-0.004698254,-0.015085146,-0.009099171,-0.013224318,0.002342634,0.01488062,0.014474805,-0.027862579,0.09838617,-0.0030167252,0.028856255,-0.028674915,-0.011277765,0.023662083,0.010039456,-0.008271322,0.024724275,-0.016589731,-0.50693107,-0.004347801,-0.036976427,-0.014432147,0.0264685,-0.016351875,-0.01492729,0.015635192,0.010256197,-0.027145669,0.4171771,0.0067370236,-0.0033884272,-0.011204734,-0.0020017177,0.015662543,0.0055208057,0.0144862905,-0.00064433925,0.016608477,0.28385237,-0.012052476,-0.0096819475,-0.0071860105,-0.020712018,-0.0028787577,0.0015979335,0.011884853,0.0135694705,-0.01027602,-0.11698347,0.016592883,-0.020441324,-0.013999537,0.008029819,-0.007366178,-0.0051547512,0.0003535971,-0.0014474075,0.0025229603,0.7382221,-0.0018489957,0.008787878,-0.002597317,-0.006963432,-0.010155351,0.0041965917,-0.005495265,-0.002790656,-0.0006285906,0.66715133,0.0025510117,0.00096990913,0.00077712536,-0.010244653,0.00895724,0.003647633
1993-04-06,-0.009964481,-0.0029770788,0.012906238,-0.30398175,-0.014310535,-0.0070204213,-0.026936427,0.006315112,-0.025432989,0.00022833794,-0.00059937686,0.004578136,0.003561914,-0.2856963,0.0012366399,-0.005984582,-0.0030331314,-0.012013078,0.009570134,-0.0021843687,0.00714311,0.017657802,-0.016671032,-0.0023180544,0.003252864,0.000593625,-0.012074575,-0.0014472306,0.014164,-0.0015908107,0.011699282,-0.007003201,0.004859939,0.10291703,-0.0059907064,-0.013431311,-0.018858567,0.0042957515,-0.017672248,0.0030983984,0.016444266,0.009069443,-0.0022217482,0.01788798,0.009595491,-0.028567582,0.0034741014,0.004103929,0.0033412706,-0.009114981,0.024470516,0.0075727664,-0.01338689,0.2867071,0.012694359,-0.02621454,-0.012070879,0.00065109134,0.0024673855,0.001748465,0.013940744,0.009430531,-0.0063827336,0.17544374,-0.00040972233,-0.0014633164,-0.028594539,-0.018539771,0.0066119647,0.0102592185,0.012745231,0.009348936,-0.018979028,-0.0060024858,0.0072074607,-0.0013457611,-0.029117808,0.0062311143,-0.0050973855,0.003311023,-0.010362171,0.0033712909,0.013843447,0.5562505,-0.016763952,0.018581972,-0.016642705,-0.015351251,-0.010294071,0.008306578,0.0051219687,0.009144541,-0.012169078,0.30645573,0.003684558,0.000993304,-0.02330704,-0.00082308054,0.010183898,0.0041188374,-0.0039930344,-0.0043404605,0.020552903,0.48879555,-0.01147303,0.0042849183,0.0013040006,-0.0052634925,-0.013978338,-0.0013459697,-0.0026296005,0.0070661195,0.0038852245,0.39379442,0.0074864626,-0.0072432086,-0.014799044,-0.010056376,0.0018059928,0.0032613426,0.0077580735,0.013839349,-0.02117762,0.6247637,0.010292046,0.0029259175,-0.008290306,-0.0005466193,0.020265575,0.00105194,0.007799022,-0.0035003182,0.0089306235,0.49639833,-0.008438326,-0.0031915978,-0.022542372,-0.0042817146,-0.012618172,0.008285426,0.011292353,0.0034024753,0.018890984,0.24265267,-0.0068835393,-0.011042945,0.0030565858,-0.026091635,0.0101047205,-0.0031673275,-0.004699327,-0.006283447,0.0169584,-0.02810976,-0.0018654391,0.0016813055,-0.0036512166,0.003984779,-0.019762062,-0.0041831955
2003-04-18,0.0005564019,0.0072291903,-0.010841563,-0.44293246,-0.012217652,0.025618248,-0.052305624,0.00074252486,-0.005865023,0.01328025,-6.1653554e-05,0.007958416,-0.008140624,-0.14513698,-0.002346851,-0.019886047,-0.031142727,0.0138053745,-0.01394272,0.004135169,-0.006917715,0.0011702813,0.0076545626,-0.0116018355,-0.007214837,0.0051411316,-0.015440062,-0.018386275,-0.00024572155,0.0065446123,-0.013112105,0.010028169,-0.0026868433,-0.09392503,-0.008018658,0.01526013,-0.009669498,-0.006436959,0.010465817,-0.00091971457,0.002075836,0.006915223,-0.0004287064,-0.16825455,-0.010688584,0.0136651695,0.0001142472,-0.011093035,0.008146882,-0.005155772,-0.011429973,-0.007856559,0.019431785,-0.008130044,-0.0075543895,-0.02195257,-0.01740779,0.0044454336,-0.03164302,0.0027428493,-0.014801241,0.00468285,0.0052431673,0.32604802,0.006475672,-0.006575875,0.019436136,0.0048145056,0.010666615,-0.013500035,0.004950367,0.006861046,-0.0051709414,0.57589805,0.016920157,-0.015959218,0.02455081,-0.0005811602,0.010815066,-0.012090102,0.001097858,0.005205132,-0.0030849874,0.80962443,0.0019327849,0.004402876,0.0013941526,-0.008324429,0.011863283,0.0009903535,-0.015448555,-0.006752569,0.0362332,1.0044267,-0.004881352,0.017643288,0.031953037,0.003440708,-0.01627287,-0.011857323,0.0075397566,-0.0020243041,0.017980725,1.0519886,0.016814515,-0.01649028,0.0068807453,-0.017579406,0.007945552,0.0030000508,0.008895628,0.008947771,-0.0032411665,0.92106986,0.012297191,-0.0056989715,-0.0020702332,-0.011363313,0.017069224,0.0023051947,0.009135537,0.0038357526,0.005187899,0.9046608,0.00015106797,-0.0028622001,-0.013776615,-0.0056115985,0.0071816044,0.006024152,0.02270154,0.01116316,-0.0077639967,0.40921086,0.020200506,-0.017746642,-0.011827514,-0.010947838,-0.0021797111,0.0016738474,-0.012552366,-0.010700149,0.018114582,1.1413442,-0.0074960664,0.021199636,-0.0042579025,-0.0006759465,-0.013486083,0.0071902424,0.0075833946,-0.0014594011,0.005404949,0.66453683,0.012385555,-0.024564981,0.0054436624,-0.017314523,0.015941765,0.0018039942
1984-04-29,-0.005456373,-0.007904571,0.007302806,-0.029843092,-0.0065322444,0.006887883,-0.039383635,0.015883833,-0.029259946,0.0058843642,0.014493048,0.014114477,-0.01714693,0.27668333,0.018847562,-0.0150024,-0.008829281,0.0008728802,0.011986251,-0.0012832433,0.009137899,0.008238081,-0.008102804,0.6594689,0.0048577487,0.0065529943,-0.0013684481,-0.005181566,-6.938679e-05,0.0010816529,0.009505235,0.00019140542,-0.005351484,0.63043004,0.0007844791,-0.0032836273,-0.036164895,-0.011778802,0.00170903,0.015859418,-0.0029979348,0.0013675615,0.004857138,0.45603177,0.0026033968,-0.00014715642,-0.01059337,0.0029897839,-0.009144053,0.0003953278,-0.0101029575,0.0013781153,0.008449674,0.8761506,0.004101388,0.009486213,0.008428261,-0.0010880083,-0.0011847867,-0.0031180084,-0.024260968,-0.0076614097,0.021652393,1.1862952,-0.00018054992,0.015565813,0.0041828603,-0.009449884,-0.008922028,0.0036042184,-0.0024304911,-0.0041781925,-0.002765432,1.326999,0.009467155,0.0040817857,0.011633158,0.0018668175,0.020147223,0.0025072247,0.012627989,0.0006404817,0.01079829,0.67250425,0.0018823594,-0.022478357,-0.013599053,-0.020681858,0.014603979,0.007899143,-0.016792268,0.0025473125,0.02177845,0.23505265,-0.0052121207,0.0028572157,-0.015066013,-0.008749187,-0.009810564,0.0010130629,-0.015269525,-0.00084192865,0.007263854,0.5912727,-0.00037136674,0.010824069,0.01479657,0.0018004179,0.0013040453,-0.008825049,0.0016327426,0.010212276,-0.008665383,0.70536137,0.012894802,0.00088596344,-0.0012306124,-0.014913693,0.0119235935,0.0031230897,-0.0067575127,0.0030748397,-0.0045256317,0.93902624,0.0016440004,0.024506561,-0.0055232644,-0.0046640337,0.001904686,0.0043944567,-0.010408543,-0.0021189135,0.025627553,1.2406331,-0.00781329,0.015930332,0.01626569,-0.0061664283,-0.003380469,-0.0030178279,-0.009913385,-0.005234288,0.03668797,1.1249479,-0.0016555712,-0.00046450645,0.003747046,-0.009216934,-0.004728622,-6.020814e-05,-0.012819566,-0.007114919,0.02081146,0.97432804,-0.0017288625,-0.010549046,0.011035621,-0.021961898,0.010089888,0.00072172284
