,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159
1993-07-27,0.021556066,0.0075306036,0.0069604428,0.0005392991,0.013991514,-0.009948388,0.7086413,0.00056398194,-0.0015100688,-0.0139518045,-0.011139814,-0.009615008,-0.010880796,-0.0119213145,0.013452407,0.009887941,0.3580618,0.017726483,0.009146072,-0.009426158,0.010015562,-0.0034655808,-1.1219177e-05,-0.0007316042,0.013187773,0.002771642,-0.21125789,0.006700969,-0.0070130564,-0.007935343,-0.0035283454,0.004933959,-0.005921982,-0.0063931504,0.009085529,0.0065087415,0.43069142,0.0083795525,0.019628476,0.0020838822,0.0121184625,-0.0059319567,0.017239153,-0.0054699015,-0.0013958006,-0.0019029826,-0.34857172,-0.005719943,-0.014661387,-0.0069813957,0.0039227754,-0.003988277,-0.006185742,-0.0053853393,0.01831665,0.010190856,-0.02720718,0.015674379,0.008807398,-0.0044122743,-0.03332942,0.0035517495,-0.012467294,0.0046457127,-0.0030338732,0.0120358765,-0.007306896,0.0113993045,0.020725708,0.01953302,-0.066051535,-0.020375513,-0.010102719,0.029769253,-0.030764224,0.016177163,-1.8511617,-0.016660348,-0.02487803,0.042904396,-0.018618416,-0.02432425,0.030222148,0.011007853,-0.02344515,0.005417764,-1.6230662,-0.038199868,-0.059052132,0.01783465,0.014440613,0.001288373,0.012977494,-0.0064990614,0.01073925,0.0039945766,-0.048345447,0.0012751287,-0.0043996274,-0.006495303,0.008775588,0.006582776,0.014569366,-0.0052114762,0.012163138,0.0066835433,0.3611546,0.01174877,0.0055979043,-0.01753714,-0.030973911,-0.009315889,-0.025535883,0.00069132634,0.012692826,0.02697264,-0.41124934,0.027229216,0.021690968,0.0067848777,-0.034492165,-0.0037651975,-0.002710885,0.009567527,-0.0050211637,0.023662847,-0.9673345,0.0032157376,0.0023929402,0.023253584,0.014480468,-0.0069156457,0.041513063,-0.0012018345,-0.011223188,-0.0053241476,-0.62329996,-0.027304603,-0.036167823,6.895512e-05,-0.009841979,-0.002602934,0.0013777735,-0.0053257523,0.021400305,0.0294617,-0.33561713,0.02978567,0.011742383,-0.01519626,0.00922795,0.010357121,-0.0026205936,-0.00046062097,0.015272783,0.0016305409,0.42060238,0.011206849,0.023320373,-0.004945122
1999-06-26,0.014993494,0.0013782866,0.0032452387,-0.0046714284,0.0049051503,-0.010453418,0.42809534,-0.0027036914,-0.0012648776,-0.00774526,0.0038639493,-0.0088498015,0.004460973,-0.011292652,0.0052949707,-0.008496527,0.29946372,-0.00012419978,-0.007428784,-0.0050491444,-0.024423443,-0.016191108,-0.016407851,0.0046689305,0.0036023664,0.012625847,-0.68357265,0.015030015,-0.006578721,0.00480616,-0.0046260804,-0.017043443,0.01267346,-0.0014132988,-0.0026164786,-0.01702501,-0.2772138,-0.009642709,-0.032577567,0.011316591,-0.04985603,-0.02392501,-0.022783019,0.020599984,-0.017031541,0.011182811,-1.4462997,0.00282815,-0.017325234,0.021471225,-0.015291404,-0.021228002,0.017632298,0.0028208662,-0.016872581,-0.00048061833,-1.1850727,-0.021677284,-0.047001198,0.0113130715,-0.0050871894,-0.008749713,-0.0052083917,-0.0005248636,0.0046348427,0.00645468,-0.4497121,0.006336343,-0.0054825842,0.0066212653,-0.060986005,0.00012688711,-0.028626516,0.02305758,-0.0027535236,0.030211318,-0.97515655,0.026729234,0.017295409,0.030260753,-0.006913569,-0.02140491,0.038523782,0.0036137588,-0.023968643,-0.004368454,-1.2458838,-0.045533646,-0.061505944,0.01718658,-0.007286072,-0.0071972897,-0.0045799655,-0.00016196258,0.0051804734,0.007940289,-0.38781697,0.0092372,-2.7008355e-06,0.006630855,-0.0013828911,-0.007236653,0.010165963,-0.0043808697,-0.003577733,-0.0023616552,-0.43063632,-0.0109901875,-0.0141174495,0.011267081,0.0050693937,-0.009972876,0.014817644,-0.0055163456,-0.0037045176,0.00028721988,-0.5972293,-0.008019365,-0.016095802,0.002541193,0.02248149,-0.00037769042,0.014345763,-0.0042722644,0.00686082,-0.009324569,0.0591501,-0.0064967973,-0.0143090375,-0.0070788483,0.017313767,0.005544124,-0.0057884846,-0.0019242615,0.014862636,-0.0054632165,0.5026218,0.0025948547,0.0071564727,-0.0074534533,0.009330487,0.0031695142,-0.004131963,-0.0024583377,0.0066802944,-0.010021966,0.8417966,0.0044974186,0.007260617,-0.008907452,0.005096551,-0.015106569,-0.012278924,-0.007599309,0.006467818,-0.01178316,-0.112992294,-0.0028147874,-0.010758292,0.0032467141
1995-04-28,-0.017580215,-0.002482105,-0.009472249,-0.0064930934,0.009331507,0.007510297,0.700979,0.02193492,0.0113916285,-0.010593796,-0.10111808,-0.0030918848,-0.054799974,0.035344057,-0.0013573486,0.059842672,-1.4492407,0.048930675,0.041482855,0.02837964,-0.010000214,-0.020286882,0.06732523,0.0010314025,-0.023020368,0.0006178953,-1.2839011,-0.050655082,-0.06869526,0.012773589,-0.03079363,-0.013726587,-0.010983571,0.0019076448,0.005590112,0.010569464,-0.42981315,0.017286763,0.0071856566,0.014092144,-0.018305678,-0.014962379,0.030762818,0.0052150507,-0.011610998,0.015310943,-1.3828715,-0.014364373,-0.039040707,-0.0014879811,-0.023252524,0.00078075565,-0.018634282,0.0011102259,0.010541294,0.01733781,0.01839073,0.017656686,0.027626473,0.014777921,-0.004657544,-0.015750885,0.021041075,0.0060051493,-0.010356465,0.0018087402,-1.0192289,-0.012201782,-0.03639079,0.0027283519,0.006787136,-0.006135309,0.012847107,-0.0042722365,0.014984097,0.001824338,0.021099284,0.013617676,-0.0137557015,-0.016160557,-0.006270483,-0.009334231,-0.009884454,-0.005439272,0.020559767,0.013589211,-0.008792095,0.023301747,0.009192947,-0.010675112,-0.067419134,0.00024474226,-0.033670917,0.011625068,0.0050213593,0.046544988,-0.86391276,0.03527655,0.042264048,0.026286233,0.019394511,-0.0070511494,0.06368145,0.004250534,-0.017331071,-0.008019447,-0.85853547,-0.04899499,-0.053410895,0.0021054866,-0.057371773,0.00053738244,-0.028199611,-0.00049042515,0.0061337603,0.03080671,0.07895611,0.027315125,0.053577174,0.026159842,-0.03121943,-0.026414283,0.041020736,0.011564797,-0.033596605,0.00915632,-1.8541679,-0.041375585,-0.052988227,0.0225768,0.0048002973,-0.008520454,0.022384569,-0.004513706,0.0045518028,0.008700304,-0.5780691,-0.0004755347,-0.019754399,-0.009292161,0.011897773,-0.00040183216,-0.00060455455,-0.007792319,0.020630283,0.008542739,0.29600322,0.016676836,0.015852924,-0.010567108,0.011710884,-0.0009410698,-0.004036611,-0.0043122647,0.012828971,-0.0060797893,0.12039471,0.005471624,0.0074066557,-0.00097266445
1980-08-08,-0.0047012307,0.0024036355,-0.007151786,-0.007464855,-0.0052405256,-0.0036482774,0.44116586,-0.0054137288,0.008239754,0.0050035785,-0.008594751,-0.008779252,0.01178946,-0.0030095614,-0.003915532,0.0052863844,-0.6161431,0.002586116,-0.016760096,-0.00064976094,-0.011091817,-0.0070257233,0.0056584734,-0.0008094907,0.011751887,0.019901354,-0.5270246,0.019029694,-0.0047534406,-0.0076194494,-0.009825371,-0.005959008,-0.016445197,0.003145896,0.019305116,0.019327994,-0.42006496,0.02425195,0.009225048,0.003320762,0.0063367225,0.0051116236,0.016556177,-0.0021774583,0.0032520315,0.0011778772,0.11150521,-0.004628255,-0.006813869,-0.003351661,-0.00036269054,-0.0040188637,0.0057112346,-0.0044114236,0.008289866,0.011342619,-0.30481648,0.009642193,-0.00256446,-0.008488312,0.009461952,-0.004842207,-0.0039524813,-0.0019434616,0.01763719,0.0033594035,-0.06532789,0.013220923,0.002531916,-0.0029998287,-0.0040164515,-0.004544424,-0.0031953584,-0.0051165977,0.00398345,-0.0001184009,-0.057872556,0.00050101336,-0.0010108091,0.008164402,0.0069096386,-0.0039059306,0.015818996,-0.0019230936,-0.0026670978,0.0015943088,-0.452367,-0.006004625,-0.018310444,-0.005410546,0.01774329,0.010736756,0.013443382,0.00092417374,0.01374073,-0.0040459298,0.6846194,0.00786951,-0.0001710318,-0.021446686,-0.024696477,-0.00641782,-0.018930573,-0.012767922,0.01606148,0.027548369,0.16253775,0.02329636,0.024529893,-0.0057315,0.02154483,0.010724353,0.02074867,-0.0047264285,0.0048537543,0.0024829134,0.3413104,-0.0062449044,0.0026719235,-0.012640791,0.021143261,0.016781967,0.009291507,-0.00073074736,0.010589448,-0.006303791,0.9291284,0.00017405907,0.0061649457,-0.020286256,-0.001876358,0.017978575,-0.011446992,-0.007839734,0.007853639,0.0141835585,1.2383513,0.008464418,0.03917433,-0.017943239,0.010661857,0.026210342,-0.005042398,0.008609721,-0.0006370968,-0.002327636,1.3138597,-0.0027849001,0.026594263,-0.016130488,-0.00993919,0.0029168706,-0.01775171,-0.009782725,0.0023533236,-0.003624551,0.75704414,0.007989414,0.020746555,-0.007874021
2016-07-26,-0.016936615,-0.0057598287,-0.013263697,-0.006619758,0.0068748672,0.0070670173,0.38520175,0.013567245,0.012693785,-1.0932796e-05,-0.018873144,-0.014893582,-0.016865017,0.010839095,-0.0020002401,0.006623447,-1.0052569,0.004003851,-0.009532116,0.015700186,0.020120373,-0.007987001,0.023404866,0.0013196152,-0.009729318,-0.032451823,-0.017046034,-0.02757555,-0.04135297,0.005404891,-0.025490917,-0.021767892,-0.011865443,-0.0079475315,0.0055715824,0.015714195,-0.7318588,0.019582827,-0.013258722,-0.0037047113,0.02204691,0.007273454,0.018588604,0.00065212697,0.009067568,-0.010970004,0.42246193,-0.003202302,-0.013794396,-0.015093109,-0.009338394,-0.0082676355,-0.017839484,-0.011068029,0.01203402,0.0047453344,0.2591153,0.013676273,0.015123691,0.0020203157,-0.0091983825,-0.010225594,0.009193415,-0.0022731572,6.733276e-05,0.008521609,-0.5929551,0.0038223634,-0.015301172,0.00023165205,-0.012245413,-0.0047348477,-0.0043332074,0.0013185702,0.008851023,0.018789414,-0.59234464,0.012845876,-0.00057104975,0.0030725014,0.015796872,0.0062508844,0.0101781,-0.0020233057,0.0035550427,-0.0008525029,0.15873536,-0.008602903,-0.0010526963,8.401787e-05,-0.010125734,-0.0027809842,0.0039877933,-0.0015315525,0.0077068484,0.009943359,-0.15829247,0.015481716,-0.0006336048,-0.0032756724,-0.0024261512,-0.008902197,0.0025234432,0.004658684,0.010617411,0.012349937,-0.6583495,0.008426791,-0.012775037,-0.006843545,0.0047029704,0.0018522646,-0.009143941,-0.0019277632,0.008720279,-0.0020004176,0.433326,0.0038620732,0.010105014,0.0026646277,-0.01797244,-0.0011491962,0.010998782,-0.0042840205,0.004982409,0.027651574,-0.61694777,0.0163549,-0.0005439371,-0.010956362,0.0020368956,-0.0059765866,-0.004945588,0.0048994776,0.008205359,-0.0056599565,0.23909831,0.0047720983,0.0040300637,0.007803913,-0.02890966,-0.01624327,0.003406623,0.004714422,-0.0028135576,0.016276307,-1.1573391,0.01570382,-0.030627957,-0.008118629,0.008200567,-0.00970007,0.00042740628,-0.0031495169,0.014872583,-0.004971195,-0.12006071,-0.0006526392,-0.009962335,0.0024497814
1971-01-04,-0.08523544,-0.038441524,0.00155462,0.040369716,-0.049748365,0.03639212,-3.0392847,-0.03988115,-0.058425333,0.0436163,-0.00539542,-0.0075457906,0.031565823,0.00022836961,-0.012159899,0.007813845,-0.72903174,-0.028210074,-0.01992054,0.013733139,0.026462177,0.013969995,0.032951906,0.003371738,-0.005039182,-0.0053983517,0.03177072,-0.01831686,-0.016063489,-0.016863346,-0.0021383874,0.030763384,-0.013885332,0.012627713,-0.00019707903,0.00012866408,2.0451667,0.0050210985,0.0380199,-0.022491004,-0.029439531,-0.0052394597,-0.008691697,-0.017809214,0.008138424,0.028572556,0.21451488,0.020776615,0.016883072,-0.017350808,0.016326884,0.023880012,0.007929033,0.005555043,0.0060696253,0.0027219914,1.0035793,-0.0037525115,0.019688163,-0.015175907,-0.0003272891,0.0063727666,-0.004860261,-0.001845831,0.0050416384,-0.006039396,1.1543918,0.007788014,0.020964507,-0.012356404,-0.03210266,-0.01992857,-0.00195572,-0.009445248,0.0043908004,0.025081452,-0.58616275,0.014166249,-0.0052015968,-0.0089961905,0.010280948,0.004929818,0.010669488,-0.0028879847,0.013870189,0.013176531,-0.03289476,0.0072898488,0.0067927614,-0.011810359,0.015122453,0.026677761,0.0038794563,0.0072395112,0.009331207,0.0032817572,1.1919773,0.0011352333,0.025660243,-0.018979356,-0.04724049,-0.0029597403,-0.045621287,0.004712254,0.0012994115,0.020255651,0.5676996,0.025457852,0.04223596,0.014490858,-0.04633434,-0.010520135,-0.0058796555,0.023121223,-0.014257636,0.025955494,-1.6056634,0.0028029857,-0.01466516,0.017736275,-0.019051388,-0.017545814,0.022718893,-0.002397159,-0.012811471,-0.0026694536,-0.73839766,-0.018861322,-0.026718747,0.022140816,-0.08700272,-0.012625658,-0.033594083,0.030669179,-0.023412617,0.04565421,-2.1062615,0.017183654,0.013137247,0.040775366,-0.01627579,-0.0047918214,0.04983079,0.0065691713,-0.028174857,0.01483947,-1.131952,-0.044958647,-0.035440437,0.018774731,0.012879455,0.007690981,0.01835879,0.00063852593,0.0022656843,-0.003162127,-0.020397402,-0.008396609,0.001622688,0.00028381962
2001-03-11,0.0022348538,-0.007854212,0.025297934,-0.00010366179,-0.0060486984,0.0031325147,-0.7027438,-0.01589952,-0.02886562,0.003659351,0.026967138,0.0122096315,0.012009457,0.004237376,0.011790922,-0.0054429807,0.29316428,-0.0010581941,-0.0028041862,-0.015856026,0.007498663,0.02120423,-0.025383908,0.007473612,0.0149492845,0.0029471517,1.4151762,0.016555771,0.041197803,-0.015443826,0.0050244518,0.0100652985,-0.01070945,-0.0023987722,0.013865285,0.0026367605,1.0312235,0.013274899,0.022401866,-0.017653964,0.010612708,0.0065648947,-0.0015848598,-0.00010035746,0.011192907,-0.009853486,1.1675426,0.003231124,0.005416263,-0.0191419,-0.0393243,-0.01597422,-0.029186757,-0.013432306,0.002715768,0.008154016,0.17874339,0.012597268,0.02105226,0.017720785,-0.062371828,-0.027016878,0.005214361,0.019322779,-0.03235667,0.00069862977,-1.4547994,-0.012226636,-0.03566938,0.037935514,-0.05322045,-0.027511396,0.009270307,0.0180294,-0.03346407,0.022836622,-2.3231156,-0.024667839,-0.05397133,0.021122895,0.027080603,0.024211336,0.030742,0.01375008,0.009952658,-0.0042415,0.48861986,-0.006829489,-0.0070240907,-0.022511145,-0.073234424,0.004408082,-0.052662894,0.00036469288,0.008533795,0.041771192,0.46886158,0.035338387,0.074807435,0.028502056,0.018220922,-0.0020469315,0.06898096,0.017084688,-0.01889009,-0.012231935,-1.0643591,-0.055771146,-0.058397733,0.0021373578,-0.00024263933,0.008527929,-0.021323254,-0.005202299,0.015609084,0.0089393,1.2346647,0.011136262,0.033902694,-0.012139337,-0.022838995,0.012446828,-0.026794724,-0.0029702336,-0.0063479845,0.010955311,0.59303707,0.005387451,0.043850075,0.016343698,0.02444406,0.003472384,0.042267837,0.0036458187,-0.010893721,-0.011068683,-0.4832283,-0.030427035,-0.035357498,-0.0073334766,0.009985978,0.031108204,-0.012878487,0.014843855,0.008049479,-0.002883315,1.7343637,0.006530233,0.033081856,-0.022499813,-0.022398606,0.0013247393,-0.023929989,-0.013766494,0.004382817,0.0013913251,0.94125986,0.013798943,0.028599191,-0.010457529
1993-04-06,0.021947676,0.004465917,0.029079478,0.00026776083,-0.0002751844,-0.013808718,0.35918057,-0.014026873,-0.017513439,-0.009747064,-0.024897344,-0.011922159,-0.01056832,-0.005614344,0.013040239,0.028307896,-0.42202193,0.028432336,0.006810289,-0.013969984,0.0061788857,0.01072458,-0.0024785453,-0.0014763493,0.00877099,0.0069231987,0.45053053,0.0012873448,0.013786208,-0.0016561258,0.007850993,0.022336736,0.009237729,0.0015845615,-0.008455951,0.0012485273,0.90352964,-0.013979703,0.014879588,-0.010118049,0.007643942,0.01013151,0.014001474,-0.009810152,0.0027545241,0.0061394423,0.543615,-0.0017532371,0.0057774745,-0.018843632,0.010482801,0.01830728,-0.0021869356,-0.0037456378,0.006741379,0.005253285,1.0186172,0.0023711482,0.026764605,-0.014752194,-0.022864327,0.0077251736,-0.020738421,-0.003618258,0.004230064,0.023995373,0.24319708,0.016761174,0.03786386,0.0054134475,0.015936496,0.0044358894,0.028198037,-0.0051336335,-0.0017249859,0.0033483878,-0.18863365,-0.012130694,-0.010737851,-0.005401652,0.00926942,0.025468785,-0.0060554505,0.012905758,-0.0018178378,-0.0014985353,1.0754738,-0.0018142383,0.01822671,-0.012395868,-0.010885309,0.00069970265,-0.016292911,-0.009487989,0.01155701,0.0151455365,0.3740008,0.016138688,0.021060523,-0.0052594584,0.0139495265,0.015474163,0.009457216,0.00091343746,-0.0031084078,-0.0050462037,0.62784547,-0.009850344,0.00244987,-0.0072409357,0.01588924,0.0041408204,0.002009896,-0.0014724564,0.01359524,-0.0033147372,0.35805422,0.006852221,-0.0003261082,-0.015658336,-0.004649233,0.0077429917,-0.014437132,-0.00736014,0.013608804,0.014168717,0.74486876,0.015562421,0.026656378,-0.009528538,0.000478331,0.0047016256,-0.0009954453,-0.004869341,0.008289132,0.009790361,0.21272138,0.009278547,0.01797216,-0.002412072,-0.055470683,-0.0041693132,-0.009132603,0.0047293846,-0.0072391746,0.023435865,-0.72968614,0.014005711,0.019739483,0.030232074,-0.014102414,-0.0160257,0.06794768,0.00742756,-0.017241681,0.006567113,-1.7916688,-0.047610912,-0.051925123,0.02471601
2003-04-18,-0.048770227,0.0049402677,-0.029086908,0.01935681,0.0045181583,0.03620631,-1.0105193,0.027930904,0.020276453,0.025804114,0.020109717,-0.0005118586,0.051303934,0.0042773373,-0.014049618,-0.013940129,-0.28852916,-0.04314421,-0.044943437,-0.00071194954,-0.024665453,-0.0067629665,-0.011126263,-0.0038641598,0.012626285,0.026374776,-0.29083443,0.0335241,0.013953019,-0.008403458,-0.026491068,-0.008402512,-0.006061197,0.006279938,0.008447617,0.01997811,-0.61426914,0.01684278,-0.000978753,0.00912431,-0.052564412,-0.010626655,-0.010229992,0.011840781,-0.0075701545,0.028869893,-1.2809912,0.008858044,0.002487868,0.02900164,0.0057418384,-0.012845312,0.06601501,0.00054602325,-0.011943242,-0.0039796047,-0.8835997,-0.026526045,-0.055483546,-0.0064348145,0.005468581,-0.007747545,-0.011518974,0.0028793588,0.019106323,-0.00247477,0.208392,0.01633443,-0.0031847358,-0.015751818,0.009688981,0.007969189,-0.0054426175,-0.004232931,0.015558366,0.0006400794,0.9894018,0.007378927,0.013468523,-0.02119377,3.094226e-05,0.012242889,-0.021590516,-0.0053804275,0.0074970867,0.0055057853,1.1193963,0.0067579583,0.033346657,-0.008180682,0.017175818,0.027871162,0.0026052343,0.012919072,-0.0068969675,-0.015100166,1.3098983,-0.014719995,0.010369144,-0.015634581,-0.004093256,0.005872825,-0.012696063,-0.006434071,-0.0014487985,-0.0062306114,1.1153479,-0.0023220298,0.011149764,-0.012286784,0.0013327189,0.00308197,-0.008078069,-0.010007363,0.007730077,0.007728409,0.51766044,0.006624513,0.018658143,-0.010093119,-0.015806366,0.009369286,-0.013430143,0.0011794064,0.0008012159,0.012297146,0.35480133,0.0057881805,0.025908243,0.008961599,0.005345732,-0.0059593385,0.024270328,-0.0032260548,-0.0013363818,0.0071882904,-0.6261598,-0.0020852743,-0.020076826,-0.009059818,0.0055921637,-0.0010114387,-0.0010672922,-0.0057823695,0.016045911,0.0032603145,0.36603725,0.013538767,0.012321558,-0.0046683415,0.0060618334,-0.008813702,0.0042067193,-0.0014639106,0.0099103805,-0.003073167,-0.48982042,-0.0010649124,-0.0063801706,0.0049123233
1984-04-29,0.024867628,-0.00090775825,0.041774023,0.003615681,-0.006290291,-0.012451008,-0.22525379,-0.033494167,-0.0368948,-0.004670426,0.010798259,0.0073666684,-0.0003669951,-0.005963672,0.015870487,0.005205054,0.5402757,0.01019801,0.010661617,-0.017136378,0.015188225,0.024854299,-0.010766097,0.00983745,0.00985501,-0.0025989003,1.3651347,0.0063588913,0.027199168,-0.019673154,-0.017758362,0.0042632297,-0.02655775,-0.009257918,0.009378673,0.017117143,0.7594282,0.019437516,0.033746574,-0.005875711,0.025107607,0.012935296,0.013159618,0.0026718788,0.00784772,-0.0077667385,0.46538323,-0.007828316,-0.0017926879,-0.011614138,0.015810901,0.019711744,-0.0044331043,0.0053025167,0.0076381816,-0.009661626,1.3208773,-0.0011103475,0.016251113,-0.018747192,0.0015448444,0.021459084,-0.011168386,0.0084105935,0.0024316483,-0.009302381,1.7377791,0.0006837463,0.018147718,-0.024534488,-0.010756381,-0.00093716756,-0.024358405,-0.009795809,0.006855848,0.0011511929,1.3813044,0.006824085,0.021990519,-0.015026135,-0.045098893,-0.0051009078,-0.024272485,-0.0042257914,0.0051224246,0.025398258,-0.062417943,0.02822835,0.02824999,0.008999723,-0.0132559575,-0.016785348,0.018953182,0.0076089893,-0.012089169,0.0066866465,-1.1639128,-0.013093349,-0.036940746,0.0066497303,-0.0053919926,-0.006492979,0.006861878,-0.0030649453,0.012319377,0.016022269,-0.41067463,0.0113221295,-0.004234802,-0.0046658055,-0.0038561076,-0.004283957,0.004582008,-0.0043726265,0.014276935,0.016346648,-0.33771142,0.015854828,0.0046012104,-0.0033021676,0.0010705963,-0.004258301,0.0044618617,-0.006906878,0.010687941,0.014643963,-0.34345156,0.010200048,0.006118741,-0.0007820092,0.002316434,0.006924687,-0.002307287,0.0003978759,0.00080114463,0.006368585,0.06533995,-0.0016162051,0.015647884,0.007856747,0.004644897,-0.00532452,0.008754348,-0.00060338527,-0.00445319,-0.0071178228,-0.35590532,-0.01321407,-0.014053252,0.011423893,0.011397598,-0.008408117,0.014218023,-0.002600398,0.003127737,-0.0080956,-0.45524266,-0.01157644,-0.018739467,0.008210624
